replica,network,population,sigma,true_model,net_size,colab_cond,RR
39,Lattice,All,0.2,13,413,COLAB,0.5417737789203085
40,Lattice,All,0.2,13,413,COLAB,0.5268557634278818
41,Lattice,All,0.2,13,413,COLAB,0.5204017576898933
42,Lattice,All,0.2,13,413,COLAB,0.5242925787506674
43,Lattice,All,0.2,13,413,COLAB,0.4921363040629096
44,Lattice,All,0.2,13,413,COLAB,0.5691519635742743
45,Lattice,All,0.2,13,413,COLAB,0.530044275774826
46,Lattice,All,0.2,13,413,COLAB,0.5427553444180523
47,Lattice,All,0.2,13,413,COLAB,0.5207736389684814
48,Lattice,All,0.2,13,413,COLAB,0.5226744186046511
49,Lattice,All,0.2,13,413,COLAB,0.5318374772589448
50,Lattice,All,0.2,13,413,COLAB,0.5383655645664379
1,Lattice,All,0.2,13,413,NOLAB,0.518783542039356
2,Lattice,All,0.2,13,413,NOLAB,0.473950233281493
3,Lattice,All,0.2,13,413,NOLAB,0.4915315315315315
4,Lattice,All,0.2,13,413,NOLAB,0.49945945945945946
5,Lattice,All,0.2,13,413,NOLAB,0.49078171091445427
6,Lattice,All,0.2,13,413,NOLAB,0.4836697247706422
7,Lattice,All,0.2,13,413,NOLAB,0.509549795361528
8,Lattice,All,0.2,13,413,NOLAB,0.4959938954597482
9,Lattice,All,0.2,13,413,NOLAB,0.5047723935389133
10,Lattice,All,0.2,13,413,NOLAB,0.5219081272084806
11,Lattice,All,0.2,13,413,NOLAB,0.477171301064195
12,Lattice,All,0.2,13,413,NOLAB,0.489741641337386
13,Lattice,All,0.2,13,413,NOLAB,0.48043875685557585
14,Lattice,All,0.2,13,413,NOLAB,0.4723618090452261
15,Lattice,All,0.2,13,413,NOLAB,0.5085237577076532
16,Lattice,All,0.2,13,413,NOLAB,0.528152260111023
17,Lattice,All,0.2,13,413,NOLAB,0.49405833633417356
18,Lattice,All,0.2,13,413,NOLAB,0.5384333821376281
19,Lattice,All,0.2,13,413,NOLAB,0.5286827195467422
20,Lattice,All,0.2,13,413,NOLAB,0.505
21,Lattice,All,0.2,13,413,NOLAB,0.5169082125603864
22,Lattice,All,0.2,13,413,NOLAB,0.48038490007401924
23,Lattice,All,0.2,13,413,NOLAB,0.49333813467770976
24,Lattice,All,0.2,13,413,NOLAB,0.48955661414437524
25,Lattice,All,0.2,13,413,NOLAB,0.49140401146131807
26,Lattice,All,0.2,13,413,NOLAB,0.5100387460373371
27,Lattice,All,0.2,13,413,NOLAB,0.501788268955651
28,Lattice,All,0.2,13,413,NOLAB,0.5172943889315911
29,Lattice,All,0.2,13,413,NOLAB,0.4863723608445297
30,Lattice,All,0.2,13,413,NOLAB,0.4831043445971036
31,Lattice,All,0.2,13,413,NOLAB,0.5292096219931272
32,Lattice,All,0.2,13,413,NOLAB,0.503993914035755
33,Lattice,All,0.2,13,413,NOLAB,0.5035581158929177
34,Lattice,All,0.2,13,413,NOLAB,0.4959938954597482
35,Lattice,All,0.2,13,413,NOLAB,0.5
36,Lattice,All,0.2,13,413,NOLAB,0.4914688427299703
37,Lattice,All,0.2,13,413,NOLAB,0.5173168064163325
38,Lattice,All,0.2,13,413,NOLAB,0.5143261407852847
39,Lattice,All,0.2,13,413,NOLAB,0.4940828402366864
40,Lattice,All,0.2,13,413,NOLAB,0.4940021810250818
41,Lattice,All,0.2,13,413,NOLAB,0.530474840538625
42,Lattice,All,0.2,13,413,NOLAB,0.5197489848652639
43,Lattice,All,0.2,13,413,NOLAB,0.5105115627189909
44,Lattice,All,0.2,13,413,NOLAB,0.5145390070921986
45,Lattice,All,0.2,13,413,NOLAB,0.5380934854619065
46,Lattice,All,0.2,13,413,NOLAB,0.4874715261958998
47,Lattice,All,0.2,13,413,NOLAB,0.5175310445580716
48,Lattice,All,0.2,13,413,NOLAB,0.48054755043227665
49,Lattice,All,0.2,13,413,NOLAB,0.5157657657657657
50,Lattice,All,0.2,13,413,NOLAB,0.5195121951219512
1,Lattice,All,0.2,2,413,COLAB,0.326044703595724
2,Lattice,All,0.2,2,413,COLAB,0.3252190847127556
3,Lattice,All,0.2,2,413,COLAB,0.3136781053649106
4,Lattice,All,0.2,2,413,COLAB,0.32964601769911506
5,Lattice,All,0.2,2,413,COLAB,0.32142857142857145
6,Lattice,All,0.2,2,413,COLAB,0.3338150289017341
7,Lattice,All,0.2,2,413,COLAB,0.32792959703566466
8,Lattice,All,0.2,2,413,COLAB,0.30943900267141583
9,Lattice,All,0.2,2,413,COLAB,0.3281677301731996
10,Lattice,All,0.2,2,413,COLAB,0.3195057369814651
11,Lattice,All,0.2,2,413,COLAB,0.3283917340521114
12,Lattice,All,0.2,2,413,COLAB,0.33200883002207504
13,Lattice,All,0.2,2,413,COLAB,0.33486872409028096
14,Lattice,All,0.2,2,413,COLAB,0.29989440337909185
15,Lattice,All,0.2,2,413,COLAB,0.3197374589779653
16,Lattice,All,0.2,2,413,COLAB,0.3473336479471449
17,Lattice,All,0.2,2,413,COLAB,0.33813690169840455
18,Lattice,All,0.2,2,413,COLAB,0.34335154826958103
19,Lattice,All,0.2,2,413,COLAB,0.31247036510194404
20,Lattice,All,0.2,2,413,COLAB,0.30680680680680683
21,Lattice,All,0.2,2,413,COLAB,0.3182435491172476
22,Lattice,All,0.2,2,413,COLAB,0.32644628099173556
23,Lattice,All,0.2,2,413,COLAB,0.31848030018761725
24,Lattice,All,0.2,2,413,COLAB,0.32181110029211296
25,Lattice,All,0.2,2,413,COLAB,0.33846944016435543
26,Lattice,All,0.2,2,413,COLAB,0.33349491032476974
27,Lattice,All,0.2,2,413,COLAB,0.3229018492176387
28,Lattice,All,0.2,2,413,COLAB,0.31695795937647614
29,Lattice,All,0.2,2,413,COLAB,0.3117677024961793
30,Lattice,All,0.2,2,413,COLAB,0.319060773480663
31,Lattice,All,0.2,2,413,COLAB,0.3145306859205776
32,Lattice,All,0.2,2,413,COLAB,0.32457879088206143
33,Lattice,All,0.2,2,413,COLAB,0.3317307692307692
34,Lattice,All,0.2,2,413,COLAB,0.30943900267141583
35,Lattice,All,0.2,2,413,COLAB,0.3390639923591213
36,Lattice,All,0.2,2,413,COLAB,0.2917082917082917
37,Lattice,All,0.2,2,413,COLAB,0.3407717340771734
38,Lattice,All,0.2,2,413,COLAB,0.3385490753911807
39,Lattice,All,0.2,2,413,COLAB,0.32419879238272176
40,Lattice,All,0.2,2,413,COLAB,0.31776155717761556
41,Lattice,All,0.2,2,413,COLAB,0.32811801519892714
42,Lattice,All,0.2,2,413,COLAB,0.32149532710280376
43,Lattice,All,0.2,2,413,COLAB,0.313666162380232
44,Lattice,All,0.2,2,413,COLAB,0.3136297020029311
45,Lattice,All,0.2,2,413,COLAB,0.3160073597056118
46,Lattice,All,0.2,2,413,COLAB,0.29214607303651824
47,Lattice,All,0.2,2,413,COLAB,0.324822695035461
48,Lattice,All,0.2,2,413,COLAB,0.3452566096423017
49,Lattice,All,0.2,2,413,COLAB,0.32172701949860727
50,Lattice,All,0.2,2,413,COLAB,0.3271474019088017
1,Lattice,All,0.2,2,413,NOLAB,0.3094812164579606
2,Lattice,All,0.2,2,413,NOLAB,0.29925187032418954
3,Lattice,All,0.2,2,413,NOLAB,0.2962843295638126
4,Lattice,All,0.2,2,413,NOLAB,0.3012383900928793
5,Lattice,All,0.2,2,413,NOLAB,0.3192202254035943
6,Lattice,All,0.2,2,413,NOLAB,0.2982832618025751
7,Lattice,All,0.2,2,413,NOLAB,0.284304932735426
8,Lattice,All,0.2,2,413,NOLAB,0.30087390761548066
9,Lattice,All,0.2,2,413,NOLAB,0.28916768665850673
10,Lattice,All,0.2,2,413,NOLAB,0.3010852713178295
11,Lattice,All,0.2,2,413,NOLAB,0.2949378599575629
12,Lattice,All,0.2,2,413,NOLAB,0.29198886483142594
13,Lattice,All,0.2,2,413,NOLAB,0.2968561064087062
14,Lattice,All,0.2,2,413,NOLAB,0.2909987669543773
