replica,network,population,sigma,true_model,net_size,colab_cond,RR,TAT
41,Lattice,All,0.2,13,413,NOLAB,0.530474840538625,0.834918822158928
42,Lattice,All,0.2,13,413,NOLAB,0.5197489848652639,0.8452794603323397
43,Lattice,All,0.2,13,413,NOLAB,0.5105115627189909,0.8284676913292183
44,Lattice,All,0.2,13,413,NOLAB,0.5145390070921986,0.8413144828311093
45,Lattice,All,0.2,13,413,NOLAB,0.5380934854619065,0.8286830042617312
46,Lattice,All,0.2,13,413,NOLAB,0.4874715261958998,0.8474268979866865
47,Lattice,All,0.2,13,413,NOLAB,0.5175310445580716,0.8240282435983493
48,Lattice,All,0.2,13,413,NOLAB,0.48054755043227665,0.8444030487629883
49,Lattice,All,0.2,13,413,NOLAB,0.5157657657657657,0.8436295264247162
50,Lattice,All,0.2,13,413,NOLAB,0.5195121951219512,0.8610240600823288
1,Lattice,All,0.2,2,413,COLAB,0.326044703595724,0.8193538395288839
2,Lattice,All,0.2,2,413,COLAB,0.3252190847127556,0.8171438130071167
3,Lattice,All,0.2,2,413,COLAB,0.3136781053649106,0.7978916955171831
4,Lattice,All,0.2,2,413,COLAB,0.32964601769911506,0.8175075396414303
5,Lattice,All,0.2,2,413,COLAB,0.32142857142857145,0.8283438746854042
6,Lattice,All,0.2,2,413,COLAB,0.3338150289017341,0.8078204792903901
7,Lattice,All,0.2,2,413,COLAB,0.32792959703566466,0.8012621667239399
8,Lattice,All,0.2,2,413,COLAB,0.30943900267141583,0.8124699612837938
9,Lattice,All,0.2,2,413,COLAB,0.3281677301731996,0.7874840620052216
10,Lattice,All,0.2,2,413,COLAB,0.3195057369814651,0.8158968427433106
11,Lattice,All,0.2,2,413,COLAB,0.3283917340521114,0.790000058376018
12,Lattice,All,0.2,2,413,COLAB,0.33200883002207504,0.8019458225992142
13,Lattice,All,0.2,2,413,COLAB,0.33486872409028096,0.8049095026690871
14,Lattice,All,0.2,2,413,COLAB,0.29989440337909185,0.839057719529115
15,Lattice,All,0.2,2,413,COLAB,0.3197374589779653,0.8117171633600457
16,Lattice,All,0.2,2,413,COLAB,0.3473336479471449,0.8080725117879445
17,Lattice,All,0.2,2,413,COLAB,0.33813690169840455,0.8069907493636307
18,Lattice,All,0.2,2,413,COLAB,0.34335154826958103,0.8107994312800946
19,Lattice,All,0.2,2,413,COLAB,0.31247036510194404,0.8108655303018302
20,Lattice,All,0.2,2,413,COLAB,0.30680680680680683,0.8032606321425085
21,Lattice,All,0.2,2,413,COLAB,0.3182435491172476,0.8042660632843521
22,Lattice,All,0.2,2,413,COLAB,0.32644628099173556,0.8123690582388174
23,Lattice,All,0.2,2,413,COLAB,0.31848030018761725,0.7959974223727231
24,Lattice,All,0.2,2,413,COLAB,0.32181110029211296,0.8228732935763831
25,Lattice,All,0.2,2,413,COLAB,0.33846944016435543,0.8042301860740134
26,Lattice,All,0.2,2,413,COLAB,0.33349491032476974,0.8035419083432599
27,Lattice,All,0.2,2,413,COLAB,0.3229018492176387,0.7881636237923495
28,Lattice,All,0.2,2,413,COLAB,0.31695795937647614,0.8233014863693502
29,Lattice,All,0.2,2,413,COLAB,0.3117677024961793,0.8300360086954236
30,Lattice,All,0.2,2,413,COLAB,0.319060773480663,0.8024875762534359
31,Lattice,All,0.2,2,413,COLAB,0.3145306859205776,0.7895474238581416
32,Lattice,All,0.2,2,413,COLAB,0.32457879088206143,0.8160121502805989
33,Lattice,All,0.2,2,413,COLAB,0.3317307692307692,0.7987314468030506
34,Lattice,All,0.2,2,413,COLAB,0.30943900267141583,0.8124699612837938
35,Lattice,All,0.2,2,413,COLAB,0.3390639923591213,0.8130379878818772
36,Lattice,All,0.2,2,413,COLAB,0.2917082917082917,0.8330932378293839
37,Lattice,All,0.2,2,413,COLAB,0.3407717340771734,0.8002058143518551
38,Lattice,All,0.2,2,413,COLAB,0.3385490753911807,0.8012572830614134
39,Lattice,All,0.2,2,413,COLAB,0.32419879238272176,0.8061618236172614
40,Lattice,All,0.2,2,413,COLAB,0.31776155717761556,0.819360108610472
41,Lattice,All,0.2,2,413,COLAB,0.32811801519892714,0.7888799838796872
42,Lattice,All,0.2,2,413,COLAB,0.32149532710280376,0.8221384105057482
43,Lattice,All,0.2,2,413,COLAB,0.313666162380232,0.8229142059883069
44,Lattice,All,0.2,2,413,COLAB,0.3136297020029311,0.8374973054807774
