replica,network,population,sigma,true_model,modelcompare,base_SS,RR
4,None,All,0.2,2,AIC,20,0.8217270194986073
5,None,All,0.2,2,AIC,20,0.8327974276527331
6,None,All,0.2,2,AIC,20,0.8427800269905533
7,None,All,0.2,2,AIC,20,0.8323615160349854
8,None,All,0.2,2,AIC,20,0.8062583222370173
9,None,All,0.2,2,AIC,20,0.8289106145251397
10,None,All,0.2,2,AIC,20,0.8181818181818182
11,None,All,0.2,2,AIC,20,0.8314037626628076
12,None,All,0.2,2,AIC,20,0.8309210526315789
13,None,All,0.2,2,AIC,20,0.8230668414154653
14,None,All,0.2,2,AIC,20,0.8240489130434783
15,None,All,0.2,2,AIC,20,0.8293515358361775
16,None,All,0.2,2,AIC,20,0.8186596583442839
17,None,All,0.2,2,AIC,20,0.8130841121495327
18,None,All,0.2,2,AIC,20,0.8204577968526466
19,None,All,0.2,2,AIC,20,0.8173333333333334
20,None,All,0.2,2,AIC,20,0.8338762214983714
21,None,All,0.2,2,AIC,20,0.8263665594855305
22,None,All,0.2,2,AIC,20,0.8256302521008403
23,None,All,0.2,2,AIC,20,0.8325088339222615
24,None,All,0.2,2,AIC,20,0.8136908962597036
25,None,All,0.2,2,AIC,20,0.820855614973262
26,None,All,0.2,2,AIC,20,0.8350649350649351
27,None,All,0.2,2,AIC,20,0.8255261371350985
28,None,All,0.2,2,AIC,20,0.8290479499652537
29,None,All,0.2,2,AIC,20,0.8446033810143043
30,None,All,0.2,2,AIC,20,0.8292521508934481
31,None,All,0.2,2,AIC,20,0.8113333333333334
32,None,All,0.2,2,AIC,20,0.8311026131293817
33,None,All,0.2,2,AIC,20,0.8228021978021978
34,None,All,0.2,2,AIC,20,0.8062583222370173
35,None,All,0.2,2,AIC,20,0.7700729927007299
36,None,All,0.2,2,AIC,20,0.8313172043010753
37,None,All,0.2,2,AIC,20,0.8155880306193458
38,None,All,0.2,2,AIC,20,0.8314840499306518
39,None,All,0.2,2,AIC,20,0.8462566844919787
40,None,All,0.2,2,AIC,20,0.8424522083058669
41,None,All,0.2,2,AIC,20,0.8096551724137931
42,None,All,0.2,2,AIC,20,0.8408937034529451
43,None,All,0.2,2,AIC,20,0.8213538032100488
44,None,All,0.2,2,AIC,20,0.8381421534130894
45,None,All,0.2,2,AIC,20,0.830804248861912
46,None,All,0.2,2,AIC,20,0.8252290345313601
47,None,All,0.2,2,AIC,20,0.8268156424581006
48,None,All,0.2,2,AIC,20,0.8193681318681318
49,None,All,0.2,2,AIC,20,0.8252427184466019
50,None,All,0.2,2,AIC,20,0.839142091152815
1,None,All,0.2,7,AIC,20,0.8916109873793615
2,None,All,0.2,7,AIC,20,0.8766290182450044
3,None,All,0.2,7,AIC,20,0.8991416309012875
4,None,All,0.2,7,AIC,20,0.9180672268907563
5,None,All,0.2,7,AIC,20,0.8949249463902788
6,None,All,0.2,7,AIC,20,0.9011830201809325
7,None,All,0.2,7,AIC,20,0.8992248062015504
8,None,All,0.2,7,AIC,20,0.9095200629425649
9,None,All,0.2,7,AIC,20,0.8975155279503105
10,None,All,0.2,7,AIC,20,0.8415841584158416
11,None,All,0.2,7,AIC,20,0.8199566160520607
12,None,All,0.2,7,AIC,20,0.6929824561403509
13,None,All,0.2,7,AIC,20,0.9012048192771084
14,None,All,0.2,7,AIC,20,0.9007751937984496
15,None,All,0.2,7,AIC,20,0.9055793991416309
16,None,All,0.2,7,AIC,20,0.9002184996358339
17,None,All,0.2,7,AIC,20,0.902405498281787
18,None,All,0.2,7,AIC,20,0.8431183830606352
19,None,All,0.2,7,AIC,20,0.8909495548961425
20,None,All,0.2,7,AIC,20,0.9071428571428571
21,None,All,0.2,7,AIC,20,0.8914421553090333
22,None,All,0.2,7,AIC,20,0.9052388289676425
23,None,All,0.2,7,AIC,20,0.9143468950749465
24,None,All,0.2,7,AIC,20,0.8988416988416988
25,None,All,0.2,7,AIC,20,0.9165477888730386
26,None,All,0.2,7,AIC,20,0.894620486366986
