replica,network,population,sigma,true_model,modelcompare,base_SS,RR
1,None,All,0.2,13,BIC,100,0.9934667211106574
2,None,All,0.2,13,BIC,100,0.991873222267371
3,None,All,0.2,13,BIC,100,0.9831121833534379
4,None,All,0.2,13,BIC,100,0.9472837022132797
5,None,All,0.2,13,BIC,100,0.9318271898533492
6,None,All,0.2,13,BIC,100,0.9880952380952381
7,None,All,0.2,13,BIC,100,0.9927125506072875
8,None,All,0.2,13,BIC,100,0.9922239502332815
9,None,All,0.2,13,BIC,100,0.9940805051302289
10,None,All,0.2,13,BIC,100,0.9904988123515439
11,None,All,0.2,13,BIC,100,0.9910436137071651
12,None,All,0.2,13,BIC,100,0.9888844779674474
13,None,All,0.2,13,BIC,100,0.990224032586558
14,None,All,0.2,13,BIC,100,0.9406540169559952
15,None,All,0.2,13,BIC,100,0.9935820296831127
16,None,All,0.2,13,BIC,100,0.9861495844875346
17,None,All,0.2,13,BIC,100,0.9910226385636222
18,None,All,0.2,13,BIC,100,0.9945011783189317
19,None,All,0.2,13,BIC,100,0.9884737678855325
20,None,All,0.2,13,BIC,100,0.9901030927835052
21,None,All,0.2,13,BIC,100,0.991096721974909
22,None,All,0.2,13,BIC,100,0.9963129864809505
23,None,All,0.2,13,BIC,100,0.9959563283461383
24,None,All,0.2,13,BIC,100,0.9909018987341772
25,None,All,0.2,13,BIC,100,0.9936406995230525
26,None,All,0.2,13,BIC,100,0.991725768321513
27,None,All,0.2,13,BIC,100,0.991636798088411
28,None,All,0.2,13,BIC,100,0.9921568627450981
29,None,All,0.2,13,BIC,100,0.9939686369119421
30,None,All,0.2,13,BIC,100,0.9856850715746421
31,None,All,0.2,13,BIC,100,0.9893026941362916
32,None,All,0.2,13,BIC,100,0.9943388596845936
33,None,All,0.2,13,BIC,100,0.9905623279591034
34,None,All,0.2,13,BIC,100,0.9922239502332815
35,None,All,0.2,13,BIC,100,0.9920350457984867
36,None,All,0.2,13,BIC,100,0.9899152884227511
37,None,All,0.2,13,BIC,100,0.9903498190591074
38,None,All,0.2,13,BIC,100,0.9858803986710963
39,None,All,0.2,13,BIC,100,0.9904761904761905
40,None,All,0.2,13,BIC,100,0.9905882352941177
41,None,All,0.2,13,BIC,100,0.989662027833002
42,None,All,0.2,13,BIC,100,0.9926070038910506
43,None,All,0.2,13,BIC,100,0.9722332407774693
44,None,All,0.2,13,BIC,100,0.9909427748044463
45,None,All,0.2,13,BIC,100,0.9911894273127754
46,None,All,0.2,13,BIC,100,0.9908693926161175
47,None,All,0.2,13,BIC,100,0.9770161290322581
48,None,All,0.2,13,BIC,100,0.9917840375586855
49,None,All,0.2,13,BIC,100,0.9900358708648864
50,None,All,0.2,13,BIC,100,0.9800650935720098
1,None,All,0.2,2,BIC,100,0.9596678529062871
2,None,All,0.2,2,BIC,100,0.9605048859934854
3,None,All,0.2,2,BIC,100,0.9562043795620438
4,None,All,0.2,2,BIC,100,0.959307010475423
5,None,All,0.2,2,BIC,100,0.9550561797752809
6,None,All,0.2,2,BIC,100,0.9630952380952381
7,None,All,0.2,2,BIC,100,0.9563318777292577
8,None,All,0.2,2,BIC,100,0.9560140132347217
9,None,All,0.2,2,BIC,100,0.9585451701212359
10,None,All,0.2,2,BIC,100,0.9679207920792079
11,None,All,0.2,2,BIC,100,0.9547581903276131
12,None,All,0.2,2,BIC,100,0.9575320512820513
13,None,All,0.2,2,BIC,100,0.9532488114104596
14,None,All,0.2,2,BIC,100,0.9532069382815651
15,None,All,0.2,2,BIC,100,0.9576891781936534
16,None,All,0.2,2,BIC,100,0.9583333333333334
17,None,All,0.2,2,BIC,100,0.9527720739219713
18,None,All,0.2,2,BIC,100,0.958316633266533
19,None,All,0.2,2,BIC,100,0.9514835605453087
20,None,All,0.2,2,BIC,100,0.9556765163297045
21,None,All,0.2,2,BIC,100,0.9563145353455124
22,None,All,0.2,2,BIC,100,0.9583993660855784
23,None,All,0.2,2,BIC,100,0.9503080082135523
24,None,All,0.2,2,BIC,100,0.9596678529062871
25,None,All,0.2,2,BIC,100,0.9586973788721207
26,None,All,0.2,2,BIC,100,0.9606425702811245
27,None,All,0.2,2,BIC,100,0.9562647754137116
28,None,All,0.2,2,BIC,100,0.9564509564509565
29,None,All,0.2,2,BIC,100,0.9595190380761524
30,None,All,0.2,2,BIC,100,0.9561834561834562
31,None,All,0.2,2,BIC,100,0.9545094936708861
32,None,All,0.2,2,BIC,100,0.962338171832091
33,None,All,0.2,2,BIC,100,0.9506903353057199
34,None,All,0.2,2,BIC,100,0.9560140132347217
35,None,All,0.2,2,BIC,100,0.9589968152866242
36,None,All,0.2,2,BIC,100,0.9681353265145555
37,None,All,0.2,2,BIC,100,0.9491392801251957
38,None,All,0.2,2,BIC,100,0.9543650793650794
39,None,All,0.2,2,BIC,100,0.958217270194986
40,None,All,0.2,2,BIC,100,0.9613963039014374
41,None,All,0.2,2,BIC,100,0.9641862315957024
42,None,All,0.2,2,BIC,100,0.9547619047619048
43,None,All,0.2,2,BIC,100,0.9520412207689258
44,None,All,0.2,2,BIC,100,0.955503512880562
45,None,All,0.2,2,BIC,100,0.9537307211338057
46,None,All,0.2,2,BIC,100,0.9575059571088165
47,None,All,0.2,2,BIC,100,0.956642800318218
48,None,All,0.2,2,BIC,100,0.9577974276527331
49,None,All,0.2,2,BIC,100,0.9559118236472945
50,None,All,0.2,2,BIC,100,0.9582831929402327
1,None,All,0.2,7,BIC,100,0.9791751735402205
2,None,All,0.2,7,BIC,100,0.9735772357723578
3,None,All,0.2,7,BIC,100,0.9787151702786377
4,None,All,0.2,7,BIC,100,0.8936688311688312
5,None,All,0.2,7,BIC,100,0.9765087079789389
6,None,All,0.2,7,BIC,100,0.9749900754267566
7,None,All,0.2,7,BIC,100,0.981563126252505
8,None,All,0.2,7,BIC,100,0.9789964994165694
9,None,All,0.2,7,BIC,100,0.9780993351583888
10,None,All,0.2,7,BIC,100,0.9806934594168637
11,None,All,0.2,7,BIC,100,0.9758566978193146
12,None,All,0.2,7,BIC,100,0.9728854714690409
13,None,All,0.2,7,BIC,100,0.9801980198019802
