replica,turn,studies,network,population,sigma,net_size,base_SS,true_model,colab_cond,orig_type,strategy,old_model,selected_model,orig_agents,switch_agents,SS,num_agents,init_g_true,final_g_true,prop_t_mod,switch_testing,switch_changing,switch_true,switch_true_changing,switch_true_rejecting,switch_rep_study,switch_rep,switch_not_rep,switch_all,switch_global,switch_not_global,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_true
1,13,35,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,8,4,1,1,20,1,0,0,0,3,2,0,0,0,0,0,0,4,1,3,0.062953995157385,0.0726392251815981,0.0653753026634383,0.0799031476997579,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,14,39,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,6,3,1,1,20,1,0,0,0,3,0,0,0,0,0,0,0,4,1,3,0.062953995157385,0.0726392251815981,0.0677966101694915,0.0799031476997579,0.0871670702179177,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,15,40,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,3,6,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062953995157385,0.0726392251815981,0.0677966101694915,0.0799031476997579,0.0871670702179177,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,16,41,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,2,6,1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.062953995157385,0.0726392251815981,0.0677966101694915,0.0799031476997579,0.0871670702179177,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,17,42,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,8,11,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062953995157385,0.0726392251815981,0.0677966101694915,0.0799031476997579,0.0871670702179177,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,18,51,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,12,8,1,1,20,1,0,0,0,8,7,0,0,0,4,4,0,8,0,8,0.0605326876513317,0.0726392251815981,0.0677966101694915,0.0799031476997579,0.0847457627118644,0.0653753026634383,0.0702179176755448,0.0847457627118644,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0556900726392252,0.0750605326876513,0.062953995157385,0.0726392251815981
1,19,56,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,6,3,1,1,20,1,0,0,0,4,1,0,0,0,1,1,0,4,0,4,0.0605326876513317,0.0726392251815981,0.0726392251815981,0.0799031476997579,0.0847457627118644,0.0605326876513317,0.0702179176755448,0.0847457627118644,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0556900726392252,0.0750605326876513,0.062953995157385,0.0726392251815981
1,20,57,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,14,13,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605326876513317,0.0726392251815981,0.0726392251815981,0.0799031476997579,0.0847457627118644,0.0605326876513317,0.0702179176755448,0.0847457627118644,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0556900726392252,0.0750605326876513,0.062953995157385,0.0726392251815981
1,21,63,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,10,8,1,1,20,1,0,0,0,5,3,0,0,0,0,0,0,6,1,5,0.0605326876513317,0.0726392251815981,0.0726392251815981,0.0774818401937046,0.0847457627118644,0.0605326876513317,0.0702179176755448,0.0944309927360775,0.0702179176755448,0.0823244552058111,0.062953995157385,0.0532687651331719,0.0750605326876513,0.062953995157385,0.0726392251815981
1,22,68,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,13,2,1,1,20,1,0,1,1,4,4,0,0,0,2,2,0,5,1,4,0.0581113801452785,0.0847457627118644,0.0726392251815981,0.0774818401937046,0.0847457627118644,0.0605326876513317,0.0702179176755448,0.0944309927360775,0.0702179176755448,0.0823244552058111,0.062953995157385,0.0532687651331719,0.0677966101694915,0.0605326876513317,0.0847457627118644
