replica,network,population,sigma,true_model,modelcompare,base_SS,agent_away,agent_total,stickiness_overall
2,None,All,0.2,13,AIC,20,504,6025,0.9163485477178424
3,None,All,0.2,13,AIC,20,269,8848,0.9695976491862568
4,None,All,0.2,13,AIC,20,365,8086,0.954860252287905
5,None,All,0.2,13,AIC,20,413,7474,0.9447417714744447
6,None,All,0.2,13,AIC,20,333,8541,0.9610115911485775
7,None,All,0.2,13,AIC,20,335,8324,0.9597549255165786
8,None,All,0.2,13,AIC,20,465,6698,0.9305762914302776
9,None,All,0.2,13,AIC,20,289,8948,0.9677022798390702
10,None,All,0.2,13,AIC,20,478,5179,0.9077041899980691
11,None,All,0.2,13,AIC,20,484,4875,0.9007179487179487
12,None,All,0.2,13,AIC,20,441,3314,0.8669281834640917
13,None,All,0.2,13,AIC,20,460,7248,0.9365342163355408
14,None,All,0.2,13,AIC,20,333,8699,0.9617197379009081
15,None,All,0.2,13,AIC,20,282,8881,0.9682468190519086
16,None,All,0.2,13,AIC,20,315,8543,0.9631277068945335
17,None,All,0.2,13,AIC,20,457,6473,0.9293990421751892
18,None,All,0.2,13,AIC,20,470,5108,0.9079874706342992
19,None,All,0.2,13,AIC,20,290,8717,0.9667316737409659
20,None,All,0.2,13,AIC,20,273,8874,0.969235970250169
21,None,All,0.2,13,AIC,20,368,7897,0.9534000253260732
22,None,All,0.2,13,AIC,20,457,6824,0.9330304806565064
23,None,All,0.2,13,AIC,20,285,8858,0.9678256942876495
24,None,All,0.2,13,AIC,20,298,8772,0.9660282717738258
25,None,All,0.2,13,AIC,20,467,5828,0.9198695950583391
26,None,All,0.2,13,AIC,20,256,8885,0.9711873944850872
27,None,All,0.2,13,AIC,20,301,8744,0.965576395242452
28,None,All,0.2,13,AIC,20,339,8449,0.9598769085098828
29,None,All,0.2,13,AIC,20,286,8916,0.9679228353521758
30,None,All,0.2,13,AIC,20,289,8865,0.9673998871968416
31,None,All,0.2,13,AIC,20,291,8845,0.9671000565291125
32,None,All,0.2,13,AIC,20,356,8325,0.9572372372372372
33,None,All,0.2,13,AIC,20,321,8455,0.9620342992312241
34,None,All,0.2,13,AIC,20,465,6698,0.9305762914302776
35,None,All,0.2,13,AIC,20,464,6347,0.9268945958720656
36,None,All,0.2,13,AIC,20,287,8988,0.9680685358255452
37,None,All,0.2,13,AIC,20,413,4548,0.9091908531222516
38,None,All,0.2,13,AIC,20,280,8933,0.968655546848763
39,None,All,0.2,13,AIC,20,420,4169,0.8992564164068122
40,None,All,0.2,13,AIC,20,361,8259,0.9562901077612301
41,None,All,0.2,13,AIC,20,280,8893,0.968514562015068
42,None,All,0.2,13,AIC,20,436,6841,0.9362666276860108
43,None,All,0.2,13,AIC,20,291,8802,0.9669393319700068
44,None,All,0.2,13,AIC,20,272,8804,0.9691049522944116
45,None,All,0.2,13,AIC,20,342,8482,0.9596793209148786
46,None,All,0.2,13,AIC,20,313,8619,0.9636848822369184
47,None,All,0.2,13,AIC,20,374,7668,0.951225873761085
48,None,All,0.2,13,AIC,20,304,8621,0.9647372694582995
49,None,All,0.2,13,AIC,20,306,8701,0.9648316285484427
50,None,All,0.2,13,AIC,20,318,8783,0.9637936923602414
1,None,All,0.2,2,AIC,20,797,4868,0.836277732128184
2,None,All,0.2,2,AIC,20,818,5112,0.8399843505477308
3,None,All,0.2,2,AIC,20,794,4785,0.8340647857889237
4,None,All,0.2,2,AIC,20,810,4756,0.8296888141295207
5,None,All,0.2,2,AIC,20,816,5146,0.8414302370773417
6,None,All,0.2,2,AIC,20,795,5110,0.8444227005870841
7,None,All,0.2,2,AIC,20,776,4650,0.8331182795698925
8,None,All,0.2,2,AIC,20,833,4993,0.8331664330062087
9,None,All,0.2,2,AIC,20,808,5055,0.840158259149357
10,None,All,0.2,2,AIC,20,812,4650,0.8253763440860216
11,None,All,0.2,2,AIC,20,771,4764,0.8381612090680101
12,None,All,0.2,2,AIC,20,799,4960,0.8389112903225806
13,None,All,0.2,2,AIC,20,787,4983,0.8420630142484447
14,None,All,0.2,2,AIC,20,779,4869,0.8400082152392688
15,None,All,0.2,2,AIC,20,819,4779,0.8286252354048964
16,None,All,0.2,2,AIC,20,799,4890,0.8366053169734151
17,None,All,0.2,2,AIC,20,830,4899,0.8305776689120229
18,None,All,0.2,2,AIC,20,775,4735,0.8363252375923971
19,None,All,0.2,2,AIC,20,817,4919,0.8339093311648709
20,None,All,0.2,2,AIC,20,815,4867,0.8325457160468461
21,None,All,0.2,2,AIC,20,823,5106,0.8388170779475127
22,None,All,0.2,2,AIC,20,794,4834,0.8357467935457178
23,None,All,0.2,2,AIC,20,813,4740,0.8284810126582278
24,None,All,0.2,2,AIC,20,809,4874,0.8340172343044727
25,None,All,0.2,2,AIC,20,797,4957,0.839217268509179
26,None,All,0.2,2,AIC,20,766,5033,0.8478044903636002
27,None,All,0.2,2,AIC,20,821,4899,0.8324147785262298
28,None,All,0.2,2,AIC,20,802,4773,0.8319715063901111
29,None,All,0.2,2,AIC,20,794,4973,0.8403378242509552
30,None,All,0.2,2,AIC,20,800,4938,0.8379910895099231
31,None,All,0.2,2,AIC,20,805,4960,0.8377016129032258
32,None,All,0.2,2,AIC,20,812,5118,0.8413442751074638
33,None,All,0.2,2,AIC,20,784,4817,0.8372430973635042
34,None,All,0.2,2,AIC,20,833,4993,0.8331664330062087
35,None,All,0.2,2,AIC,20,796,3416,0.7669789227166276
36,None,All,0.2,2,AIC,20,775,4817,0.8391114801743824
37,None,All,0.2,2,AIC,20,768,4711,0.8369772872001698
38,None,All,0.2,2,AIC,20,760,4770,0.8406708595387841
39,None,All,0.2,2,AIC,20,807,5101,0.841795726328171
40,None,All,0.2,2,AIC,20,757,4865,0.844398766700925
41,None,All,0.2,2,AIC,20,813,4775,0.829738219895288
42,None,All,0.2,2,AIC,20,793,4930,0.8391480730223124
43,None,All,0.2,2,AIC,20,822,4835,0.829989658738366
44,None,All,0.2,2,AIC,20,753,4781,0.842501568709475
45,None,All,0.2,2,AIC,20,763,4669,0.8365817091454273
46,None,All,0.2,2,AIC,20,776,4822,0.839070924927416
47,None,All,0.2,2,AIC,20,786,4924,0.8403736799350122
48,None,All,0.2,2,AIC,20,810,4891,0.8343896953588223
49,None,All,0.2,2,AIC,20,768,4938,0.8444714459295262
50,None,All,0.2,2,AIC,20,831,4978,0.8330654881478505
1,None,All,0.2,7,AIC,20,417,4890,0.9147239263803681
2,None,All,0.2,7,AIC,20,429,4096,0.895263671875
3,None,All,0.2,7,AIC,20,455,5045,0.9098116947472745
4,None,All,0.2,7,AIC,20,412,5176,0.9204018547140649
5,None,All,0.2,7,AIC,20,400,4989,0.9198236119462818
6,None,All,0.2,7,AIC,20,415,4807,0.9136675681298106
7,None,All,0.2,7,AIC,20,400,4696,0.9148211243611585
8,None,All,0.2,7,AIC,20,384,4607,0.9166485782504884
9,None,All,0.2,7,AIC,20,419,4718,0.9111911827045358
10,None,All,0.2,7,AIC,20,568,4188,0.8643744030563515
11,None,All,0.2,7,AIC,20,435,2785,0.8438061041292639
12,None,All,0.2,7,AIC,20,340,1557,0.7816313423249839
13,None,All,0.2,7,AIC,20,420,4483,0.9063127370064689
14,None,All,0.2,7,AIC,20,398,4803,0.9171351238809078
15,None,All,0.2,7,AIC,20,398,4929,0.9192533982552242
16,None,All,0.2,7,AIC,20,412,5077,0.9188497143982667
17,None,All,0.2,7,AIC,20,442,5197,0.91495093323071
18,None,All,0.2,7,AIC,20,478,3416,0.8600702576112412
19,None,All,0.2,7,AIC,20,409,4920,0.916869918699187
20,None,All,0.2,7,AIC,20,412,4708,0.9124893797790994
21,None,All,0.2,7,AIC,20,397,4454,0.9108666367310283
22,None,All,0.2,7,AIC,20,394,4679,0.915793973071169
23,None,All,0.2,7,AIC,20,397,5079,0.9218350068911203
24,None,All,0.2,7,AIC,20,407,4679,0.9130156016242787
25,None,All,0.2,7,AIC,20,399,5034,0.9207389749702026
26,None,All,0.2,7,AIC,20,418,4941,0.9154017405383525
27,None,All,0.2,7,AIC,20,395,4974,0.9205870526739043
28,None,All,0.2,7,AIC,20,420,4994,0.9158990788946736
29,None,All,0.2,7,AIC,20,400,4880,0.9180327868852459
30,None,All,0.2,7,AIC,20,379,4919,0.9229518194755032
31,None,All,0.2,7,AIC,20,391,5084,0.9230920535011802
32,None,All,0.2,7,AIC,20,398,4984,0.9201444622792937
33,None,All,0.2,7,AIC,20,575,2923,0.803284296955183
34,None,All,0.2,7,AIC,20,384,4607,0.9166485782504884
35,None,All,0.2,7,AIC,20,448,3366,0.8669043374925728
36,None,All,0.2,7,AIC,20,417,5015,0.9168494516450648
37,None,All,0.2,7,AIC,20,422,2621,0.8389927508584509
38,None,All,0.2,7,AIC,20,414,5285,0.9216650898770105
39,None,All,0.2,7,AIC,20,372,1838,0.7976060935799782
40,None,All,0.2,7,AIC,20,368,4361,0.9156156844760376
41,None,All,0.2,7,AIC,20,550,5043,0.8909379337695816
42,None,All,0.2,7,AIC,20,414,3356,0.8766388557806913
43,None,All,0.2,7,AIC,20,378,5034,0.9249106078665077
44,None,All,0.2,7,AIC,20,506,2669,0.8104158860996629
45,None,All,0.2,7,AIC,20,423,4781,0.9115247856097051
46,None,All,0.2,7,AIC,20,418,4705,0.9111583421891605
47,None,All,0.2,7,AIC,20,413,5284,0.9218395155185466
48,None,All,0.2,7,AIC,20,400,4948,0.9191592562651576
49,None,All,0.2,7,AIC,20,397,4851,0.9181612038754896
50,None,All,0.2,7,AIC,20,398,5409,0.9264189314106119
1,None,All,0.2,13,BIC,100,42,9899,0.9957571471865845
2,None,All,0.2,13,BIC,100,46,9868,0.9953384677746251
3,None,All,0.2,13,BIC,100,73,9635,0.9924234561494552
4,None,All,0.2,13,BIC,100,253,2830,0.9106007067137809
5,None,All,0.2,13,BIC,100,307,4097,0.9250671222845985
6,None,All,0.2,13,BIC,100,64,9761,0.993443294744391
7,None,All,0.2,13,BIC,100,38,9860,0.9961460446247464
8,None,All,0.2,13,BIC,100,43,9878,0.9956468920834177
9,None,All,0.2,13,BIC,100,34,9866,0.9965538212041354
10,None,All,0.2,13,BIC,100,38,9881,0.9961542354012751
11,None,All,0.2,13,BIC,100,49,9854,0.9950274000405926
12,None,All,0.2,13,BIC,100,50,9850,0.9949238578680203
13,None,All,0.2,13,BIC,100,46,9847,0.9953285264547578
14,None,All,0.2,13,BIC,100,287,7109,0.9596286397524265
15,None,All,0.2,13,BIC,100,49,9865,0.9950329447541815
16,None,All,0.2,13,BIC,100,82,9584,0.9914440734557596
17,None,All,0.2,13,BIC,100,48,9830,0.9951169888097661
18,None,All,0.2,13,BIC,100,45,9874,0.9954425764634394
19,None,All,0.2,13,BIC,100,57,9807,0.9941878250229428
20,None,All,0.2,13,BIC,100,49,9847,0.9950238651365898
21,None,All,0.2,13,BIC,100,45,9863,0.9954374936631857
22,None,All,0.2,13,BIC,100,40,9855,0.9959411466260781
23,None,All,0.2,13,BIC,100,31,9886,0.99686425247825206
24,None,All,0.2,13,BIC,100,51,9848,0.994821283509342
25,None,All,0.2,13,BIC,100,38,9893,0.9961589002324877
26,None,All,0.2,13,BIC,100,43,9881,0.9956482137435482
27,None,All,0.2,13,BIC,100,44,9838,0.9955275462492377
28,None,All,0.2,13,BIC,100,50,9838,0.9949176661923155
29,None,All,0.2,13,BIC,100,44,9864,0.9955393349553934
30,None,All,0.2,13,BIC,100,71,9658,0.9926485814868503
31,None,All,0.2,13,BIC,100,46,9871,0.9953398845101813
32,None,All,0.2,13,BIC,100,34,9871,0.9965555668118732
33,None,All,0.2,13,BIC,100,40,9880,0.9959514170040485
34,None,All,0.2,13,BIC,100,43,9878,0.9956468920834177
35,None,All,0.2,13,BIC,100,49,9837,0.9950188065467114
36,None,All,0.2,13,BIC,100,51,9852,0.9948233861144945
37,None,All,0.2,13,BIC,100,49,9778,0.994988750255676
38,None,All,0.2,13,BIC,100,54,9864,0.9945255474452555
39,None,All,0.2,13,BIC,100,50,9814,0.9949052374159364
40,None,All,0.2,13,BIC,100,63,9719,0.9935178516308262
41,None,All,0.2,13,BIC,100,55,9812,0.9943946188340808
42,None,All,0.2,13,BIC,100,35,9876,0.9964560550830296
43,None,All,0.2,13,BIC,100,130,9349,0.9860947694940635
44,None,All,0.2,13,BIC,100,42,9863,0.9957416607523066
45,None,All,0.2,13,BIC,100,50,9855,0.9949264332825977
46,None,All,0.2,13,BIC,100,46,9843,0.9953266280605506
47,None,All,0.2,13,BIC,100,132,9224,0.9856895056374675
48,None,All,0.2,13,BIC,100,40,9866,0.9959456720048652
49,None,All,0.2,13,BIC,100,42,9878,0.9957481271512452
50,None,All,0.2,13,BIC,100,96,776,0.8762886597938144
1,None,All,0.2,2,BIC,100,195,9107,0.97858789941803
2,None,All,0.2,2,BIC,100,198,9309,0.9787302610377054
3,None,All,0.2,2,BIC,100,200,9240,0.9783549783549783
4,None,All,0.2,2,BIC,100,181,9316,0.9805710605410047
5,None,All,0.2,2,BIC,100,211,9088,0.9767825704225352
6,None,All,0.2,2,BIC,100,188,9067,0.9792654681813169
7,None,All,0.2,2,BIC,100,186,9392,0.9801959114139693
8,None,All,0.2,2,BIC,100,196,9124,0.9785181937746602
