replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,176,All,0.2,None,100,2,5,3,2,1,5,0,2,1,0
1,177,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,178,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,179,All,0.2,None,100,2,5,1,12,0,2,1,2,1,1
1,180,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,181,All,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,182,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,183,All,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,184,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,185,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,186,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,187,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,188,All,0.2,None,100,2,5,1,8,0,2,1,2,1,1
1,189,All,0.2,None,100,2,5,1,8,0,2,1,2,1,1
1,190,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,191,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,192,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,193,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,194,All,0.2,None,100,2,5,1,11,0,2,1,2,1,1
1,195,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,196,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,197,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,198,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,199,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,200,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,201,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,202,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,203,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,204,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,205,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,206,All,0.2,None,100,2,5,1,10,0,2,1,2,1,1
1,207,All,0.2,None,100,2,5,1,10,0,2,1,2,1,1
1,208,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
