orig_type,old_model,selected_model,count
Tess,10,6,89
Tess,10,10,50
Tess,11,3,87
Tess,11,5,44
Tess,11,11,43
Tess,12,2,54
Tess,12,6,115
Tess,12,12,45
Tess,13,5,12
Tess,13,6,36
Tess,13,13,11
Tess,14,5,14
Tess,14,6,20
Tess,14,14,8
Tess,1,2,186
Tess,1,3,211
Tess,2,1,1406
Tess,2,2,706
Tess,2,4,651
Tess,3,1,1984
Tess,3,3,940
Tess,3,4,933
Tess,4,2,1917
Tess,4,3,3915
Tess,4,4,1926
Tess,5,1,11621
Tess,5,5,5767
Tess,5,7,5644
Tess,6,1,856
Tess,6,6,434
Tess,6,8,453
Tess,7,3,28568
Tess,7,5,14110
Tess,7,7,14434
Tess,8,2,470
Tess,8,6,944
Tess,8,8,528
Tess,9,2,477
Tess,9,3,872
Tess,9,9,437
Tess,10,5,2535
Tess,10,6,5188
Tess,10,10,2588
Tess,11,3,4905
Tess,11,5,2391
Tess,11,11,2314
Tess,12,2,97
Tess,12,6,205
Tess,12,12,87
Tess,13,5,608
Tess,13,6,1315
Tess,13,13,652
Tess,14,5,400
Tess,14,6,809
Tess,14,14,391
Tess,1,2,13669
Tess,1,3,13865
Tess,2,1,5446
Tess,2,2,2832
Tess,2,4,2732
Tess,3,1,6123
Tess,3,3,3073
Tess,3,4,3050
Tess,4,2,1214
Tess,4,3,2500
Tess,4,4,1245
Tess,5,1,8040
Tess,5,5,3963
Tess,5,7,4052
Tess,6,1,8600
Tess,6,6,4299
Tess,6,8,4242
Tess,7,3,2265
Tess,7,5,1181
Tess,7,7,1093
Tess,8,2,1136
Tess,8,6,2171
Tess,8,8,1059
Tess,9,2,1080
Tess,9,3,2086
Tess,9,9,1014
Tess,10,5,939
Tess,10,6,1865
Tess,10,10,951
Tess,11,3,2301
Tess,11,5,1144
Tess,11,11,1138
Tess,12,2,1032
Tess,12,6,1977
Tess,12,12,1057
Tess,13,5,1213
Tess,13,6,2416
Tess,13,13,1220
Tess,14,5,1550
Tess,14,6,3107
Tess,14,14,1463
Tess,1,2,15696
Tess,1,3,15744
Tess,2,1,15030
Tess,2,2,7629
Tess,2,4,7527
Tess,3,1,3796
Tess,3,3,1913
Tess,3,4,1973
Tess,4,2,1912
Tess,4,3,3846
Tess,4,4,1964
Tess,5,1,10570
Tess,5,5,5117
Tess,5,7,5277
Tess,6,1,2673
Tess,6,6,1373
Tess,6,8,1314
Tess,7,3,1985
Tess,7,5,989
Tess,7,7,993
Tess,8,2,1012
Tess,8,6,1987
Tess,8,8,1027
Tess,9,2,830
Tess,9,3,1648
Tess,9,9,812
Tess,10,5,599
Tess,10,6,1062
Tess,10,10,543
Tess,11,3,1049
Tess,11,5,481
Tess,11,11,476
Tess,12,2,532
Tess,12,6,1105
Tess,12,12,568
Tess,13,5,409
Tess,13,6,847
Tess,13,13,424
Tess,14,5,542
Tess,14,6,1149
Tess,14,14,584
Tess,1,2,12436
Tess,1,3,12375
Tess,2,1,6264
Tess,2,2,3087
Tess,2,4,3078
Tess,3,1,7792
Tess,3,3,3782
Tess,3,4,3965
Tess,4,2,1872
Tess,4,3,3697
Tess,4,4,1838
Tess,5,1,10478
Tess,5,5,5140
Tess,5,7,5069
Tess,6,1,6077
Tess,6,6,2974
Tess,6,8,2969
Tess,7,3,3824
Tess,7,5,1864
Tess,7,7,1867
Tess,8,2,1026
Tess,8,6,2093
Tess,8,8,990
Tess,9,2,797
Tess,9,3,1476
Tess,9,9,721
Tess,10,5,1058
Tess,10,6,2084
Tess,10,10,1058
Tess,11,3,1916
Tess,11,5,909
Tess,11,11,885
Tess,12,2,519
Tess,12,6,1070
Tess,12,12,530
Tess,13,5,798
Tess,13,6,1568
Tess,13,13,796
Tess,14,5,1007
Tess,14,6,2094
Tess,14,14,1032
Tess,1,2,42294
Tess,1,3,42241
Tess,2,1,6645
Tess,2,2,3369
Tess,2,4,3242
Tess,3,1,6074
Tess,3,3,3076
Tess,3,4,3050
Tess,4,2,490
Tess,4,3,1002
Tess,4,4,519
Tess,5,1,2447
Tess,5,5,1162
Tess,5,7,1299
Tess,6,1,2145
Tess,6,6,1093
Tess,6,8,1005
Tess,7,3,424
Tess,7,5,246
Tess,7,7,239
Tess,8,2,194
Tess,8,6,400
Tess,8,8,185
Tess,9,2,217
Tess,9,3,429
Tess,9,9,229
Tess,10,5,76
Tess,10,6,200
Tess,10,10,119
Tess,11,3,249
Tess,11,5,128
Tess,11,11,123
Tess,12,2,114
Tess,12,6,204
Tess,12,12,101
Tess,13,5,62
Tess,13,6,145
Tess,13,13,47
Tess,14,5,31
Tess,14,6,60
Tess,14,14,28
Tess,1,2,37856
Tess,1,3,37733
Tess,2,1,17996
Tess,2,2,8790
Tess,2,4,8778
Tess,3,1,2157
Tess,3,3,1072
Tess,3,4,1074
Tess,4,2,581
Tess,4,3,1195
Tess,4,4,590
Tess,5,1,2055
Tess,5,5,1042
Tess,5,7,1030
Tess,6,1,436
Tess,6,6,220
Tess,6,8,179
Tess,7,3,252
Tess,7,5,126
Tess,7,7,113
Tess,8,2,162
Tess,8,6,308
Tess,8,8,151
Tess,9,2,134
Tess,9,3,244
Tess,9,9,125
Tess,10,5,38
Tess,10,6,80
Tess,10,10,42
Tess,11,3,92
Tess,11,5,34
Tess,11,11,35
Tess,12,2,52
Tess,12,6,72
Tess,12,12,53
Tess,13,5,8
Tess,13,6,48
Tess,13,13,19
Tess,14,5,9
Tess,14,6,18
Tess,14,14,8
Tess,1,2,37026
Tess,1,3,37058
Tess,2,1,8409
Tess,2,2,4077
Tess,2,4,4179
Tess,3,1,8584
Tess,3,3,4371
Tess,3,4,4313
Tess,4,2,783
Tess,4,3,1639
Tess,4,4,846
Tess,5,1,3428
Tess,5,5,1754
Tess,5,7,1797
Tess,6,1,1267
Tess,6,6,621
Tess,6,8,672
Tess,7,3,715
Tess,7,5,341
Tess,7,7,362
Tess,8,2,187
Tess,8,6,365
Tess,8,8,191
Tess,9,2,148
Tess,9,3,365
Tess,9,9,171
Tess,10,5,108
Tess,10,6,206
Tess,10,10,110
Tess,11,3,187
Tess,11,5,84
Tess,11,11,81
Tess,12,2,45
Tess,12,6,126
Tess,12,12,62
Tess,13,5,32
Tess,13,6,60
Tess,13,13,38
Tess,14,5,21
Tess,14,6,28
Tess,14,14,18
Tess,1,2,1
Tess,5,1,5
Tess,5,5,1
Tess,5,7,2
Tess,6,1,5
Tess,6,6,2
Tess,6,8,4
Tess,13,6,1
Tess,13,13,2
Tess,14,5,383
Tess,14,6,814
Tess,14,14,389
Tess,1,2,1
Tess,1,3,3
Tess,2,2,1
Tess,2,4,1
Tess,3,1,1
Tess,5,1,584
Tess,5,5,271
Tess,5,7,267
Tess,6,1,3
Tess,6,6,1
Tess,7,3,3
Tess,7,5,2
Tess,7,7,2
Tess,8,6,1
Tess,9,3,2
Tess,10,6,1
Tess,11,3,2
Tess,11,11,1
Tess,12,2,1
Tess,12,6,3
Tess,13,5,1
Tess,13,6,3
Tess,14,5,161
Tess,14,6,277
Tess,14,14,139
Tess,1,2,1
Tess,1,3,1
Tess,3,1,1
Tess,5,1,28
Tess,5,5,15
Tess,5,7,16
Tess,6,1,4
Tess,6,6,1
Tess,6,8,1
Tess,7,7,1
Tess,10,6,2
Tess,10,10,1
Tess,11,11,2
Tess,13,6,1
Tess,13,13,3
Tess,14,5,384
Tess,14,6,798
Tess,14,14,422
Tess,1,2,1
Tess,5,1,5
Tess,5,5,1
Tess,5,7,2
Tess,6,1,5
Tess,6,6,2
Tess,6,8,4
Tess,13,5,4
Tess,13,6,5
Tess,13,13,3
Tess,14,5,387
Tess,14,6,784
Tess,14,14,406
Tess,1,2,1
Tess,1,3,3
Tess,2,1,6
Tess,2,2,2
Tess,2,4,3
Tess,4,2,1
Tess,4,3,2
Tess,4,4,1
Tess,5,1,674
Tess,5,5,361
Tess,5,7,352
Tess,6,6,1
Tess,6,8,1
Tess,7,3,3
Tess,7,5,2
Tess,7,7,3
Tess,8,2,3
Tess,8,6,3
Tess,8,8,4
Tess,9,2,1
Tess,9,3,2
Tess,9,9,1
Tess,10,5,2
Tess,10,6,8
Tess,10,10,6
Tess,11,3,7
Tess,11,11,1
Tess,12,2,4
Tess,12,6,4
Tess,12,12,1
Tess,13,5,3
Tess,13,6,8
Tess,13,13,4
Tess,14,5,58
Tess,14,6,130
Tess,14,14,66
Tess,1,2,1
Tess,1,3,2
Tess,3,3,1
Tess,5,1,25
Tess,5,5,14
Tess,5,7,16
Tess,6,1,1
Tess,6,8,1
Tess,7,3,5
Tess,7,5,1
Tess,7,7,2
Tess,9,2,1
Tess,10,5,6
Tess,10,6,25
Tess,10,10,12
Tess,11,3,12
Tess,11,5,9
Tess,11,11,9
Tess,12,6,2
Tess,12,12,1
Tess,13,5,10
Tess,13,6,22
Tess,13,13,1
Tess,14,5,409
Tess,14,6,716
Tess,14,14,378
Tess,1,2,1
Tess,5,1,8
Tess,5,5,4
Tess,5,7,3
Tess,6,1,16
Tess,6,6,8
Tess,6,8,8
Tess,8,6,1
Tess,12,2,1
Tess,13,6,2
Tess,13,13,1
Tess,14,5,355
Tess,14,6,810
Tess,14,14,391
Tess,1,2,16
Tess,1,3,18
Tess,2,2,1
Tess,2,4,1
Tess,4,2,1
Tess,5,1,568
Tess,5,5,264
Tess,5,7,264
Tess,6,1,10
Tess,6,6,5
Tess,6,8,6
Tess,7,3,3
Tess,7,5,2
Tess,7,7,1
Tess,8,2,1
Tess,9,3,2
Tess,9,9,1
Tess,10,6,1
Tess,11,3,2
Tess,12,6,3
Tess,13,5,1
Tess,13,6,2
Tess,14,5,165
Tess,14,6,255
Tess,14,14,139
Tess,1,2,1
Tess,1,3,1
Tess,5,1,95
Tess,5,5,62
Tess,5,7,68
Tess,6,1,10
Tess,6,6,1
Tess,6,8,3
Tess,7,3,1
