orig_type,old_model,count,total
Bo,1,84423,84423
Bo,5,5010,5010
Bo,6,4059,4059
Bo,14,100,100
Mave,1,5921,84352
Mave,2,986,12999
Mave,3,835,11945
Mave,4,146,1941
Mave,5,376,4916
Mave,6,304,4171
Mave,7,60,911
Mave,8,50,819
Mave,9,54,889
Mave,10,24,445
Mave,11,27,475
Mave,12,39,435
Mave,13,20,244
Mave,14,6,114
Rey,1,30302,85012
Rey,2,1379,12883
Rey,3,1182,11989
Rey,4,199,1988
Rey,5,2155,4878
Rey,6,1841,4170
Rey,7,89,940
Rey,8,76,791
Rey,9,106,877
Rey,10,61,450
Rey,11,47,443
Rey,12,40,398
Rey,13,24,243
Rey,14,51,134
Tess,2,3369,13256
Tess,3,3076,12200
Tess,4,519,2011
Tess,5,1162,4908
Tess,6,1093,4243
Tess,7,239,909
Tess,8,185,779
Tess,9,229,875
Tess,10,119,395
Tess,11,123,500
Tess,12,101,419
Tess,13,47,254
Tess,14,28,119
Bo,1,75569,75569
Bo,5,4038,4038
Bo,6,810,810
Bo,14,33,33
Mave,1,5289,75138
Mave,2,2494,35454
Mave,3,285,4345
Mave,4,171,2477
Mave,5,291,4062
Mave,6,47,746
Mave,7,36,516
Mave,8,43,556
Mave,9,37,455
Mave,10,17,162
Mave,11,6,141
Mave,12,8,146
Mave,13,8,52
Mave,14,4,34
Rey,1,26976,75843
Rey,2,3773,35877
Rey,3,463,4253
Rey,4,229,2425
Rey,5,1775,4025
Rey,6,351,801
Rey,7,56,513
Rey,8,61,543
Rey,9,64,537
Rey,10,21,139
Rey,11,9,155
Rey,12,26,169
Rey,13,6,56
Rey,14,11,22
Tess,2,8790,35564
Tess,3,1072,4303
Tess,4,590,2366
Tess,5,1042,4127
Tess,6,220,835
Tess,7,113,491
Tess,8,151,621
Tess,9,125,503
Tess,10,42,160
Tess,11,35,161
Tess,12,53,177
Tess,13,19,75
Tess,14,8,35
Bo,1,74290,74290
Bo,5,6893,6893
Bo,6,2487,2487
Bo,14,72,72
Mave,1,5165,73687
Mave,2,1137,16497
Mave,3,1193,17485
Mave,4,209,3149
Mave,5,509,6916
Mave,6,174,2579
Mave,7,110,1454
Mave,8,65,796
Mave,9,45,661
Mave,10,30,449
Mave,11,34,448
Mave,12,15,198
Mave,13,9,138
Mave,14,12,82
Rey,1,26680,74202
Rey,2,1770,16874
Rey,3,1865,17668
Rey,4,365,3277
Rey,5,3018,6946
Rey,6,1123,2601
Rey,7,158,1424
Rey,8,66,786
Rey,9,72,629
Rey,10,40,405
Rey,11,36,381
Rey,12,24,214
Rey,13,12,148
Rey,14,34,76
Tess,2,4077,16665
Tess,3,4371,17268
Tess,4,846,3268
Tess,5,1754,6979
Tess,6,621,2560
Tess,7,362,1418
Tess,8,191,743
Tess,9,171,684
Tess,10,110,424
Tess,11,81,352
Tess,12,62,233
Tess,13,38,130
Tess,14,18,67
Bo,1,102,102
Bo,5,1605,1605
Bo,6,2595,2595
Bo,14,489978,489978
Mave,14,124,1696
Rey,1,1,1
Rey,5,2,2
Rey,6,10,10
Rey,14,1616,1628
Tess,5,1,8
Tess,6,2,11
Tess,13,2,3
Tess,14,389,1586
Bo,1,635,635
Bo,5,314548,314548
Bo,6,1065,1065
Bo,14,171367,171367
Mave,3,1,4
Mave,5,72,1104
Mave,7,2,7
Mave,12,2,5
Mave,13,1,2
Mave,14,37,584
Rey,1,3,3
Rey,5,1087,1094
Rey,6,2,2
Rey,14,552,556
Tess,2,1,2
Tess,5,271,1122
Tess,6,1,4
Tess,7,2,7
Tess,11,1,3
Tess,14,139,577
Bo,1,1019,1019
Bo,5,12564,12564
Bo,6,2806,2806
Bo,14,474302,474302
Mave,5,2,45
Mave,13,1,6
Mave,14,119,1600
Rey,1,4,4
Rey,5,43,43
Rey,6,8,8
Rey,14,1563,1575
Tess,5,15,59
Tess,6,1,6
Tess,7,1,1
Tess,10,1,3
Tess,11,2,2
Tess,13,3,4
Tess,14,422,1604
Bo,1,102,102
Bo,5,1605,1605
Bo,6,2595,2595
Bo,14,487079,487079
Mave,13,2,16
Mave,14,113,1681
Rey,1,1,1
Rey,5,2,2
Rey,6,10,10
Rey,14,1603,1619
Tess,5,1,8
Tess,6,2,11
Tess,13,3,12
Tess,14,406,1577
Bo,1,561,561
Bo,5,396150,396150
Bo,6,403,403
Bo,14,71823,71823
Mave,2,2,12
Mave,3,1,3
Mave,4,1,6
Mave,5,93,1352
Mave,7,1,14
Mave,8,1,10
Mave,9,1,11
Mave,10,1,14
Mave,11,2,14
Mave,12,1,7
Mave,13,2,18
Mave,14,16,261
Rey,1,2,2
Rey,5,1335,1345
Rey,6,1,1
Rey,14,238,240
Tess,2,2,11
Tess,4,1,4
Tess,5,361,1387
Tess,6,1,2
Tess,7,3,8
Tess,8,4,10
Tess,9,1,4
Tess,10,6,16
Tess,11,1,8
Tess,12,1,9
Tess,13,4,15
Tess,14,66,254
Bo,1,917,917
Bo,5,13397,13397
Bo,6,1743,1743
Bo,14,450043,450043
Mave,5,1,52
Mave,10,3,33
Mave,11,4,22
Mave,13,2,29
Mave,14,92,1512
Rey,1,3,3
Rey,5,52,52
Rey,6,4,4
Rey,10,1,30
Rey,14,1480,1488
Tess,3,1,1
Tess,5,14,55
Tess,7,2,8
Tess,10,12,43
Tess,11,9,30
Tess,12,1,3
Tess,13,1,33
Tess,14,378,1503
Bo,1,206,206
Bo,5,2728,2728
Bo,6,8543,8543
Bo,14,482403,482403
Mave,6,2,25
Mave,14,111,1669
Rey,1,1,1
Rey,5,6,6
Rey,6,26,26
Rey,14,1597,1607
Tess,5,4,15
Tess,6,8,32
Tess,13,1,3
Tess,14,391,1556
Bo,1,10641,10641
Bo,5,305510,305510
Bo,6,6733,6733
Bo,14,164740,164740
Mave,1,6,35
Mave,2,1,4
Mave,5,64,1077
Mave,6,2,26
Mave,7,1,5
Mave,9,1,2
Mave,10,1,6
Mave,12,2,5
Mave,13,1,3
Mave,14,33,560
Rey,1,42,42
Rey,5,1039,1046
Rey,6,11,12
Rey,14,547,553
Tess,2,1,2
Tess,5,264,1096
Tess,6,5,21
Tess,7,1,6
Tess,9,1,3
Tess,14,139,559
Bo,1,1019,1019
Bo,5,61575,61575
Bo,6,7711,7711
Bo,14,419566,419566
Mave,1,1,4
Mave,5,7,212
Mave,14,113,1408
Rey,1,4,4
Rey,5,190,191
Rey,6,19,19
Rey,14,1404,1412
Tess,5,62,225
Tess,6,1,14
Tess,7,1,3
Tess,10,1,4
Tess,11,2,5
Tess,14,377,1425
Bo,1,1536,1536
Bo,5,25902,25902
Bo,6,29875,29875
Bo,14,429677,429677
Mave,1,1,5
Mave,5,2,85
Mave,6,5,137
Mave,13,3,33
Mave,14,85,1446
Rey,1,5,5
Rey,5,90,90
Rey,6,83,84
Rey,14,1422,1433
Tess,5,21,87
Tess,6,25,106
Tess,10,1,2
Tess,11,1,3
Tess,12,1,4
Tess,13,7,24
Tess,14,359,1373
Bo,1,31404,31404
Bo,5,342306,342306
Bo,6,12405,12405
Bo,14,78836,78836
Mave,1,7,102
Mave,2,1,15
Mave,3,1,4
Mave,4,1,6
Mave,5,77,1211
Mave,6,2,39
Mave,7,1,10
Mave,8,2,7
Mave,9,1,10
Mave,11,2,14
Mave,12,2,11
Mave,13,2,21
Mave,14,17,270
Rey,1,115,116
Rey,5,1156,1163
Rey,6,39,39
Rey,14,258,260
Tess,2,3,12
Tess,4,1,4
Tess,5,320,1218
Tess,6,7,35
Tess,7,2,8
Tess,8,3,10
Tess,9,1,4
Tess,10,8,14
Tess,11,2,5
Tess,12,3,14
Tess,13,4,15
Tess,14,77,280
Bo,1,5225,5225
Bo,5,139133,139133
Bo,6,31088,31088
Bo,14,284033,284033
Mave,3,1,1
Mave,5,37,491
Mave,6,5,106
Mave,7,1,34
Mave,8,1,2
Mave,10,3,34
Mave,11,3,18
Mave,13,3,38
Mave,14,60,931
Rey,1,19,19
Rey,5,465,466
Rey,6,100,100
Rey,10,1,35
Rey,14,918,922
Tess,5,126,483
Tess,6,18,93
Tess,7,8,31
Tess,10,10,39
Tess,11,4,26
Tess,13,9,33
Tess,14,232,961
Bo,1,116443,116443
Bo,5,109799,109799
Bo,6,113920,113920
Bo,14,149885,149885
Mave,1,29,385
Mave,5,23,377
Mave,6,33,416
Mave,9,1,3
Mave,10,1,3
Mave,14,32,509
Rey,1,386,388
Rey,5,368,371
Rey,6,382,384
Rey,14,485,486
Tess,4,1,2
Tess,5,88,371
Tess,6,92,376
Tess,9,1,1
Tess,13,4,9
Tess,14,134,514
Bo,1,133126,133126
Bo,5,182480,182480
Bo,6,58392,58392
Bo,14,112882,112882
Mave,1,31,455
Mave,2,2,6
Mave,5,40,651
Mave,6,13,199
Mave,12,1,4
Mave,14,37,404
Rey,1,424,427
Rey,5,617,622
Rey,6,220,223
Rey,14,377,379
Tess,3,1,2
Tess,5,167,652
Tess,6,64,209
Tess,8,2,2
Tess,9,1,4
Tess,11,2,5
Tess,13,1,3
Tess,14,88,367
Bo,1,88435,88435
Bo,5,143961,143961
Bo,6,104668,104668
Bo,14,151376,151376
Mave,1,17,329
Mave,5,33,478
Mave,6,21,353
Mave,11,1,7
Mave,14,42,491
Rey,1,305,306
Rey,5,462,463
Rey,6,356,358
Rey,14,485,487
Tess,2,1,2
Tess,5,116,506
Tess,6,93,351
Tess,10,1,5
Tess,11,1,7
Tess,14,114,480
Bo,1,328608,328608
Bo,5,70369,70369
Bo,6,59832,59832
Bo,14,27391,27391
Mave,1,64,1122
Mave,5,12,261
Mave,6,15,194
Mave,10,1,1
Mave,14,10,109
Rey,1,1096,1106
Rey,5,224,226
Rey,6,191,192
Rey,14,86,86
Tess,2,2,5
Tess,5,64,213
Tess,6,44,193
Tess,11,3,5
Tess,13,3,9
Tess,14,21,82
Bo,1,294355,294355
Bo,5,126800,126800
Bo,6,31017,31017
Bo,14,22387,22387
Mave,1,86,1008
Mave,4,1,4
Mave,5,34,436
Mave,6,18,139
Mave,7,1,5
Mave,8,1,7
Mave,9,2,6
Mave,11,1,9
Mave,12,1,3
Mave,14,5,84
Rey,1,997,1003
Rey,5,430,436
Rey,6,90,91
Rey,14,79,79
Tess,2,5,26
Tess,3,3,6
Tess,4,1,4
Tess,5,118,429
Tess,6,39,122
Tess,9,1,7
Tess,10,3,8
Tess,11,3,7
Tess,12,2,5
Tess,13,1,13
Tess,14,16,71
Bo,1,281952,281952
Bo,5,100098,100098
Bo,6,70599,70599
Bo,14,25912,25912
Mave,1,72,952
Mave,5,27,336
Mave,6,10,240
Mave,14,6,93
Rey,1,919,924
Rey,5,332,335
Rey,6,243,246
Rey,14,85,85
Tess,2,1,3
Tess,3,4,16
Tess,4,1,3
Tess,5,75,314
Tess,6,53,247
Tess,7,4,8
Tess,9,1,2
Tess,10,3,10
Tess,11,2,3
Tess,12,2,2
Tess,13,1,9
Tess,14,23,94
Bo,14,283,283
Mave,3,3,9
Mave,7,5,33
Mave,8,1,27
Mave,9,3,29
Mave,10,259,3490
Mave,11,10,111
Mave,12,778,10701
Mave,13,27820,393230
Mave,14,6325,87434
Rey,12,1,39
Rey,13,89,1300
Rey,14,23,297
Tess,12,9,40
Tess,13,323,1285
Tess,14,52,279
Bo,5,259,259
Bo,14,26,26
Mave,1,3,9
Mave,2,13519,188438
Mave,3,1,6
Mave,4,5609,77723
Mave,5,4935,71089
Mave,7,2226,30712
Mave,8,2266,32491
Mave,9,2277,32514
Mave,10,1032,15060
Mave,11,1135,15421
Mave,12,1165,15909
Mave,13,645,8848
Mave,14,472,6716
Rey,2,44,626
Rey,4,25,274
Rey,5,27,245
Rey,7,5,99
Rey,8,8,103
Rey,9,8,113
Rey,10,5,52
Rey,11,3,55
Rey,12,2,48
Rey,14,1,24
Tess,2,158,639
Tess,4,71,284
Tess,5,60,263
Tess,7,41,100
Tess,8,21,99
Tess,9,27,118
Tess,10,19,56
Tess,11,17,67
Tess,12,16,52
Tess,13,5,31
Tess,14,7,23
Bo,5,5,5
Bo,14,69,69
Mave,1,1,5
Mave,2,1,8
Mave,3,2,6
Mave,4,405,5378
Mave,5,178,2393
Mave,7,19181,270550
Mave,8,153,1825
Mave,9,137,2039
Mave,10,5618,79044
Mave,11,5636,78609
Mave,12,51,846
Mave,13,2463,33358
Mave,14,1505,20936
Rey,4,1,18
Rey,7,66,915
Rey,10,22,252
Rey,11,12,256
Rey,13,8,105
Rey,14,11,79
Tess,4,4,19
Tess,5,2,10
Tess,7,208,893
Tess,8,1,9
Tess,9,3,7
Tess,10,76,267
Tess,11,68,287
Tess,12,1,4
Tess,13,37,116
Tess,14,17,70
Bo,14,80,80
Mave,2,1,10
Mave,3,3,9
Mave,7,14,152
Mave,8,1,27
Mave,9,3,29
Mave,10,620,8701
Mave,11,24,397
Mave,12,1281,17581
Mave,13,31722,446022
Mave,14,1615,22145
Rey,10,1,30
Rey,12,6,67
Rey,13,112,1484
Rey,14,4,60
Tess,10,4,30
Tess,12,18,64
Tess,13,360,1442
Tess,14,15,73
Bo,5,86,86
Bo,14,1,1
Mave,1,3,9
Mave,2,31286,435738
Mave,3,1,7
Mave,4,1678,24035
Mave,5,1693,23239
Mave,7,211,3161
Mave,8,238,3490
Mave,9,215,3254
Mave,10,38,600
Mave,11,39,573
Mave,12,62,668
Mave,13,8,115
Mave,14,2,48
Rey,2,109,1481
Rey,4,2,72
Rey,5,4,91
Rey,7,1,11
Tess,2,371,1509
Tess,4,22,87
Tess,5,20,88
Tess,7,2,13
Tess,8,4,14
Tess,9,2,16
Tess,10,1,2
Tess,12,1,2
Bo,5,21,21
Bo,14,2,2
Mave,1,1,5
Mave,2,1,40
Mave,3,2,6
Mave,4,914,12575
Mave,5,528,7264
Mave,7,30269,427412
Mave,8,85,1187
Mave,9,85,1234
Mave,10,1382,19831
Mave,11,1498,20798
Mave,12,14,208
Mave,13,263,3434
Mave,14,83,1003
Rey,4,3,36
Rey,5,1,30
Rey,7,95,1430
Rey,8,1,4
Rey,10,6,57
Rey,11,4,70
Rey,13,2,11
Tess,4,10,43
Tess,5,9,36
Tess,7,350,1423
Tess,8,1,2
Tess,9,1,7
Tess,10,27,75
Tess,11,16,70
Tess,13,5,19
Bo,5,2,2
