orig_type,old_model,count,total
Rey,11,9,58
Rey,12,12,48
Rey,13,78,334
Rey,14,166,634
Tess,2,859,3394
Tess,3,1111,4478
Tess,4,1550,6210
Tess,5,7997,31911
Tess,6,7833,31192
Tess,7,12205,48601
Tess,8,7975,31456
Tess,9,1470,5735
Tess,10,4206,16843
Tess,11,3951,15808
Tess,12,3324,13444
Tess,13,24646,98251
Tess,14,46684,186878
Bo,1,37,37
Bo,5,576,576
Bo,14,2,2
Mave,1,5,44
Mave,2,56,795
Mave,3,1,13
Mave,4,11,152
Mave,5,47,581
Mave,7,10,142
Mave,12,1,1
Rey,2,184,797
Rey,3,3,11
Rey,4,30,146
Rey,5,139,567
Rey,7,26,111
Rey,8,1,1
Tess,2,57755,229094
Tess,3,683,2802
Tess,4,11330,45274
Tess,5,42919,171559
Tess,6,7,35
Tess,7,8394,33617
Tess,8,43,186
Tess,9,41,190
Tess,10,30,105
Tess,11,33,132
Tess,12,30,127
Tess,13,27,109
Tess,14,25,102
Bo,1,1,1
Bo,5,201,201
Bo,6,37,37
Bo,14,61,61
Mave,2,3,26
Mave,3,1,42
Mave,4,7,141
Mave,5,10,181
Mave,6,7,49
Mave,7,64,791
Mave,8,5,73
Mave,9,1,14
Mave,10,3,98
Mave,11,5,92
Mave,13,8,77
Mave,14,6,67
Rey,2,9,35
Rey,3,6,31
Rey,4,30,126
Rey,5,52,177
Rey,6,8,45
Rey,7,197,788
Rey,8,23,98
Rey,9,5,20
Rey,10,17,79
Rey,11,22,111
Rey,12,4,13
Rey,13,19,59
Rey,14,19,63
Tess,2,2790,11214
Tess,3,2885,11531
Tess,4,10478,41925
Tess,5,12573,50901
Tess,6,3536,13899
Tess,7,58650,235272
Tess,8,6473,26177
Tess,9,1083,4346
Tess,10,6140,24575
Tess,11,7117,28594
Tess,12,889,3693
Tess,13,5727,22839
Tess,14,4983,19673
Bo,1,55,55
Bo,5,250,250
Bo,6,167,167
Bo,14,133,133
Mave,1,1,57
Mave,2,7,71
Mave,3,7,87
Mave,4,10,126
Mave,5,18,267
Mave,6,12,185
Mave,7,15,220
Mave,8,7,86
Mave,9,1,29
Mave,10,6,49
Mave,11,8,91
Mave,12,5,101
Mave,13,15,202
Mave,14,3,139
Rey,2,24,67
Rey,3,12,69
Rey,4,21,103
Rey,5,69,253
Rey,6,47,180
Rey,7,57,198
Rey,8,26,71
Rey,9,7,28
Rey,10,21,71
Rey,11,22,88
Rey,12,32,127
Rey,13,47,210
Rey,14,38,124
Tess,2,4927,19233
Tess,3,5240,20906
Tess,4,8454,33684
Tess,5,20367,81467
Tess,6,13229,53149
Tess,7,15961,62931
Tess,8,6372,25339
Tess,9,1884,7456
Tess,10,4194,16615
Tess,11,6438,25999
Tess,12,8502,33567
Tess,13,14988,59605
Tess,14,9125,36637
Bo,1,99,99
Bo,5,273,273
Mave,1,4,88
Mave,2,91,1288
Mave,4,2,49
Mave,5,17,287
Mave,7,1,16
Rey,2,281,1217
Rey,3,1,3
Rey,4,11,45
Rey,5,82,293
Rey,7,6,15
Tess,2,91659,368050
Tess,3,301,1217
Tess,4,3449,13871
Tess,5,20575,81301
Tess,6,2,8
Tess,7,777,3161
Tess,8,5,20
Tess,9,11,34
Tess,10,4,14
Tess,11,7,24
Tess,12,1,6
Bo,1,6,6
Bo,5,331,331
Bo,6,53,53
Mave,2,5,82
Mave,3,11,160
Mave,4,19,276
Mave,5,24,306
Mave,6,3,42
Mave,7,52,728
Mave,8,1,30
Mave,10,4,30
Mave,11,2,8
Rey,2,16,64
Rey,3,34,162
Rey,4,56,257
Rey,5,78,285
Rey,6,9,46
Rey,7,164,739
Rey,8,4,23
Rey,10,4,34
Rey,11,3,13
Rey,13,2,4
Tess,2,6558,25808
Tess,3,12192,48609
Tess,4,20679,82845
Tess,5,20866,82699
Tess,6,3172,12823
Tess,7,54539,217108
Tess,8,1594,6353
Tess,9,43,195
Tess,10,2525,10157
Tess,11,1054,4115
Tess,12,6,26
Tess,13,382,1592
Tess,14,34,170
Bo,1,678,678
Bo,5,7,7
Bo,6,3,3
Mave,1,56,746
Mave,2,31,422
Mave,3,30,386
Mave,4,14,147
Rey,1,5,727
Rey,2,99,411
Rey,3,105,381
Rey,4,31,118
Rey,6,1,4
Tess,2,30197,120792
Tess,3,29253,116578
Tess,4,9795,38727
Tess,5,292,1115
Tess,6,309,1129
Tess,7,94,396
Tess,8,75,308
Tess,9,69,257
Tess,10,37,135
Tess,11,41,143
Tess,12,16,88
Tess,13,42,167
Tess,14,40,164
Bo,1,582,582
Bo,5,7,7
Mave,1,48,594
Mave,2,45,875
Mave,3,9,133
Mave,4,6,126
Rey,1,1,588
Rey,2,198,827
Rey,3,27,116
Rey,4,41,137
Rey,5,1,2
Tess,2,60413,240683
Tess,3,9704,38860
Tess,4,9975,40217
Tess,5,245,1082
Tess,6,55,203
Tess,7,50,197
Tess,8,43,143
Tess,9,24,85
Tess,10,23,72
Tess,11,16,76
Tess,12,9,48
Tess,13,9,34
Tess,14,14,58
Bo,1,604,604
Bo,5,9,9
Bo,6,4,4
Mave,1,41,583
Mave,2,32,479
Mave,3,44,425
Mave,4,9,173
Mave,5,1,5
Rey,1,1,582
Rey,2,115,457
Rey,3,121,428
Rey,4,39,166
Rey,5,1,4
Rey,6,1,3
Rey,11,1,1
Tess,2,33608,135120
Tess,3,32135,129140
Tess,4,14009,56071
Tess,5,358,1406
Tess,6,179,700
Tess,7,131,548
Tess,8,70,275
Tess,9,38,122
Tess,10,38,135
Tess,11,22,92
Tess,12,23,89
Tess,13,13,64
Tess,14,27,113
Bo,1,1169,1169
Mave,1,90,1273
Mave,2,6,234
Mave,3,10,189
Rey,1,9,1248
Rey,2,54,215
Rey,3,43,164
Rey,4,3,15
Tess,2,16528,65886
Tess,3,13718,55018
Tess,4,1270,5225
Tess,5,32,136
Tess,6,45,161
Tess,7,10,47
Tess,8,11,31
Tess,9,10,32
Tess,10,4,16
Tess,11,5,19
Tess,13,1,6
Tess,14,2,10
Bo,1,1063,1063
Mave,1,64,1098
Mave,2,39,564
Mave,3,8,45
Mave,4,2,21
Rey,2,146,620
Rey,3,9,50
Rey,4,2,22
Tess,2,40705,162742
Tess,3,3112,12332
Tess,4,1155,4675
Tess,5,19,97
Tess,6,10,34
Tess,7,4,17
Tess,8,4,18
Tess,9,5,15
Tess,10,4,13
Tess,11,4,12
Tess,12,1,6
Bo,1,1125,1125
Bo,5,1,1
Mave,1,76,1092
Mave,2,25,313
Mave,3,17,231
Mave,4,2,35
Rey,1,6,1066
Rey,2,71,296
Rey,3,57,245
Rey,4,6,36
Rey,11,1,1
Tess,2,21855,87279
Tess,3,17993,71960
Tess,4,2356,9370
Tess,5,58,223
Tess,6,20,93
Tess,7,9,47
Tess,8,4,17
Tess,9,3,20
Tess,10,8,26
Tess,11,6,13
Tess,13,2,6
Tess,14,1,3
