orig_type,old_model,selected_model,count
Mave,9,2,12
Mave,9,3,12
Mave,9,4,15
Mave,9,5,11
Mave,9,6,14
Mave,9,7,12
Mave,9,8,14
Mave,9,10,15
Mave,9,11,12
Mave,9,12,14
Mave,9,13,12
Mave,9,14,10
Mave,10,1,65
Mave,10,2,54
Mave,10,3,64
Mave,10,4,57
Mave,10,5,46
Mave,10,6,60
Mave,10,7,66
Mave,10,8,60
Mave,10,9,63
Mave,10,11,52
Mave,10,12,55
Mave,10,13,69
Mave,10,14,58
Mave,11,1,43
Mave,11,2,62
Mave,11,3,47
Mave,11,4,52
Mave,11,5,68
Mave,11,6,54
Mave,11,7,67
Mave,11,8,57
Mave,11,9,63
Mave,11,10,57
Mave,11,12,52
Mave,11,13,50
Mave,11,14,51
Mave,12,1,42
Mave,12,2,57
Mave,12,3,50
Mave,12,4,50
Mave,12,5,60
Mave,12,6,57
Mave,12,7,66
Mave,12,8,54
Mave,12,9,62
Mave,12,10,44
Mave,12,11,61
Mave,12,13,52
Mave,12,14,53
Mave,13,1,3209
Mave,13,2,3269
Mave,13,3,3207
Mave,13,4,3218
Mave,13,5,3223
Mave,13,6,3233
Mave,13,7,3304
Mave,13,8,3318
Mave,13,9,3250
Mave,13,10,3247
Mave,13,11,3335
Mave,13,12,3317
Mave,13,14,3282
Mave,14,1,154
Mave,14,2,146
Mave,14,3,163
Mave,14,4,160
Mave,14,5,139
Mave,14,6,143
Mave,14,7,180
Mave,14,8,152
Mave,14,9,168
Mave,14,10,169
Mave,14,11,158
Mave,14,12,166
Mave,14,13,142
Tess,1,2,32
Tess,1,3,41
Tess,2,1,54
Tess,2,4,40
Tess,3,1,48
Tess,3,4,64
Tess,4,2,53
Tess,4,3,81
Tess,5,1,75
Tess,5,7,87
Tess,6,1,56
Tess,6,8,74
Tess,7,3,90
Tess,7,5,98
Tess,8,2,95
Tess,8,6,114
Tess,9,2,86
Tess,9,3,74
Tess,10,5,365
Tess,10,6,356
Tess,11,3,343
Tess,11,5,346
Tess,12,2,290
Tess,12,6,329
Tess,13,5,21884
Tess,13,6,22016
Tess,14,5,882
Tess,14,6,902
Bo,1,5,47
Bo,1,6,61
Bo,2,5,116
Bo,3,6,133
Bo,4,7,70
Bo,4,8,43
Bo,4,9,50
Bo,5,2,184
Bo,6,3,212
Bo,7,4,106
Bo,7,10,110
Bo,7,11,101
Bo,8,4,105
Bo,8,10,93
Bo,8,12,100
Bo,9,4,95
Bo,9,11,89
Bo,9,12,100
Bo,10,7,508
Bo,10,8,510
Bo,10,13,510
Bo,11,7,486
Bo,11,9,520
Bo,11,13,500
Bo,12,8,484
Bo,12,9,459
Bo,12,13,439
Bo,13,10,18425
Bo,13,11,18563
Bo,13,12,18422
Bo,13,14,18489
Bo,14,13,3387
Mave,1,2,8
Mave,1,3,13
Mave,1,4,9
Mave,1,5,3
Mave,1,6,7
Mave,1,7,6
Mave,1,8,6
Mave,1,9,6
Mave,1,10,7
Mave,1,11,5
Mave,1,12,11
Mave,1,13,8
Mave,1,14,16
Mave,2,1,11
Mave,2,3,7
Mave,2,4,12
Mave,2,5,10
Mave,2,6,6
Mave,2,7,10
Mave,2,8,10
Mave,2,9,16
Mave,2,10,6
Mave,2,11,11
Mave,2,12,13
Mave,2,13,8
Mave,2,14,13
Mave,3,1,9
Mave,3,2,10
Mave,3,4,5
Mave,3,5,3
Mave,3,6,12
Mave,3,7,6
Mave,3,8,10
Mave,3,9,10
