replica,network,population,true_model,sigma,net_size,colab_cond,TAT
37,Lattice,All,2,0.2,413,COLAB,0.8002058143518551
38,Lattice,All,2,0.2,413,COLAB,0.8012572830614134
39,Lattice,All,2,0.2,413,COLAB,0.8061618236172614
40,Lattice,All,2,0.2,413,COLAB,0.819360108610472
41,Lattice,All,2,0.2,413,COLAB,0.7888799838796872
42,Lattice,All,2,0.2,413,COLAB,0.8221384105057482
43,Lattice,All,2,0.2,413,COLAB,0.8229142059883069
44,Lattice,All,2,0.2,413,COLAB,0.8374973054807774
45,Lattice,All,2,0.2,413,COLAB,0.8232787941006229
46,Lattice,All,2,0.2,413,COLAB,0.8318159546359006
47,Lattice,All,2,0.2,413,COLAB,0.8082649609557738
48,Lattice,All,2,0.2,413,COLAB,0.8224567428429945
49,Lattice,All,2,0.2,413,COLAB,0.8239125845905507
50,Lattice,All,2,0.2,413,COLAB,0.8215756827411902
1,Lattice,All,2,0.2,413,NOLAB,0.8221461386742613
2,Lattice,All,2,0.2,413,NOLAB,0.8201982261910793
3,Lattice,All,2,0.2,413,NOLAB,0.8225215113798183
4,Lattice,All,2,0.2,413,NOLAB,0.833878901597485
5,Lattice,All,2,0.2,413,NOLAB,0.8181130262648455
6,Lattice,All,2,0.2,413,NOLAB,0.8149615322487206
7,Lattice,All,2,0.2,413,NOLAB,0.819789670209549
8,Lattice,All,2,0.2,413,NOLAB,0.8168067032811583
9,Lattice,All,2,0.2,413,NOLAB,0.8284232716436106
10,Lattice,All,2,0.2,413,NOLAB,0.8255481685467052
11,Lattice,All,2,0.2,413,NOLAB,0.8233292219969974
12,Lattice,All,2,0.2,413,NOLAB,0.8202330378128565
13,Lattice,All,2,0.2,413,NOLAB,0.8270363087790001
14,Lattice,All,2,0.2,413,NOLAB,0.8305191992773201
15,Lattice,All,2,0.2,413,NOLAB,0.8364069165429304
16,Lattice,All,2,0.2,413,NOLAB,0.8144157056494477
17,Lattice,All,2,0.2,413,NOLAB,0.8245207928104527
18,Lattice,All,2,0.2,413,NOLAB,0.8308562867042125
19,Lattice,All,2,0.2,413,NOLAB,0.8196716522428319
20,Lattice,All,2,0.2,413,NOLAB,0.8197703923831069
21,Lattice,All,2,0.2,413,NOLAB,0.8370488630470909
22,Lattice,All,2,0.2,413,NOLAB,0.8280612773260085
23,Lattice,All,2,0.2,413,NOLAB,0.805685773442659
24,Lattice,All,2,0.2,413,NOLAB,0.8176112540266658
25,Lattice,All,2,0.2,413,NOLAB,0.8126264280098849
26,Lattice,All,2,0.2,413,NOLAB,0.8079364117055845
27,Lattice,All,2,0.2,413,NOLAB,0.8092946269416857
28,Lattice,All,2,0.2,413,NOLAB,0.81543225856258
29,Lattice,All,2,0.2,413,NOLAB,0.816296701768636
30,Lattice,All,2,0.2,413,NOLAB,0.821166636063972
31,Lattice,All,2,0.2,413,NOLAB,0.8382213212620783
32,Lattice,All,2,0.2,413,NOLAB,0.83091615677902
33,Lattice,All,2,0.2,413,NOLAB,0.8409438013871664
34,Lattice,All,2,0.2,413,NOLAB,0.8168067032811583
35,Lattice,All,2,0.2,413,NOLAB,0.8332396137294613
36,Lattice,All,2,0.2,413,NOLAB,0.797276412443578
37,Lattice,All,2,0.2,413,NOLAB,0.8211604421900669
38,Lattice,All,2,0.2,413,NOLAB,0.8352866820607583
