replica,sigma,population,network,true_model,net_size,colab_cond,stickiness_agent,stickiness_switch,stickiness_overall
5,0.2,All,Lattice,2,413,COLAB,0.9034582132564841,0.8662921348314607,0.888937664618086
6,0.2,All,Lattice,2,413,COLAB,0.9045871559633027,0.8757467144563919,0.8936121845874062
7,0.2,All,Lattice,2,413,COLAB,0.8986157875046764,0.8651623555310952,0.8850779510022272
8,0.2,All,Lattice,2,413,COLAB,0.8952727272727272,0.884010840108401,0.8907508161044614
9,0.2,All,Lattice,2,413,COLAB,0.892271662763466,0.8752017213555675,0.885093870165121
10,0.2,All,Lattice,2,413,COLAB,0.8901627218934911,0.8838196286472149,0.887557202004794
11,0.2,All,Lattice,2,413,COLAB,0.8975609756097561,0.865979381443299,0.8846495119787046
12,0.2,All,Lattice,2,413,COLAB,0.895007342143906,0.8700721821210439,0.8850828729281768
13,0.2,All,Lattice,2,413,COLAB,0.9013778100072516,0.8671484157865481,0.8878648233486943
14,0.2,All,Lattice,2,413,COLAB,0.9065224973840251,0.8792102206736353,0.8962736979734147
15,0.2,All,Lattice,2,413,COLAB,0.9036231884057971,0.877123442808607,0.8932832523199293
16,0.2,All,Lattice,2,413,COLAB,0.9058360186179735,0.8691533451746596,0.8920124944221329
17,0.2,All,Lattice,2,413,COLAB,0.9071777527245396,0.8645276292335116,0.8906537753222836
18,0.2,All,Lattice,2,413,COLAB,0.8998949947497374,0.8675237562884293,0.8874300473525614
19,0.2,All,Lattice,2,413,COLAB,0.9029401346085725,0.8691428571428571,0.8900065602449159
20,0.2,All,Lattice,2,413,COLAB,0.9047981721249048,0.883855981416957,0.8965041398344066
21,0.2,All,Lattice,2,413,COLAB,0.8899150350942002,0.8733153638814016,0.8831652783866725
22,0.2,All,Lattice,2,413,COLAB,0.8986291486291487,0.8674181427804616,0.886084142394822
23,0.2,All,Lattice,2,413,COLAB,0.8996197718631178,0.8815642458100559,0.8923076923076922
24,0.2,All,Lattice,2,413,COLAB,0.9030039811798769,0.8739304050199658,0.891718334809566
25,0.2,All,Lattice,2,413,COLAB,0.9059443190368698,0.8578143360752056,0.8871559633027523
26,0.2,All,Lattice,2,413,COLAB,0.9091577785950717,0.8811145510835914,0.8987078910936779
27,0.2,All,Lattice,2,413,COLAB,0.8915384615384615,0.8751375137513752,0.8847894975101857
28,0.2,All,Lattice,2,413,COLAB,0.9004621400639886,0.8704836020011117,0.8887684301821336
29,0.2,All,Lattice,2,413,COLAB,0.9075062255425116,0.8775388291517324,0.8963210702341137
30,0.2,All,Lattice,2,413,COLAB,0.9001501501501501,0.8870339454646633,0.8948666218336696
31,0.2,All,Lattice,2,413,COLAB,0.9011152416356878,0.8882773802971932,0.8959396494342134
32,0.2,All,Lattice,2,413,COLAB,0.9103348937702557,0.8738584474885844,0.8962243320821374
33,0.2,All,Lattice,2,413,COLAB,0.9092896174863387,0.8818461538461538,0.8990846681922197
34,0.2,All,Lattice,2,413,COLAB,0.8952727272727272,0.884010840108401,0.8907508161044614
35,0.2,All,Lattice,2,413,COLAB,0.9050017992083483,0.8663943990665111,0.8902737591809482
36,0.2,All,Lattice,2,413,COLAB,0.9060332871012483,0.8930602957906713,0.9011202068074106
37,0.2,All,Lattice,2,413,COLAB,0.90169992609017,0.8675534991324465,0.8883878241262684
38,0.2,All,Lattice,2,413,COLAB,0.9019044196909809,0.865874363327674,0.8879120879120879
39,0.2,All,Lattice,2,413,COLAB,0.8970427163198248,0.8751387347391787,0.8883505835719004
40,0.2,All,Lattice,2,413,COLAB,0.9037037037037037,0.8791208791208791,0.8941070219011064
41,0.2,All,Lattice,2,413,COLAB,0.8908002991772626,0.8730748805098247,0.8834759710335747
42,0.2,All,Lattice,2,413,COLAB,0.9009793253536452,0.8783333333333333,0.892034233048058
43,0.2,All,Lattice,2,413,COLAB,0.9124873779872097,0.8786093105480259,0.9001713796058269
44,0.2,All,Lattice,2,413,COLAB,0.9074391498114501,0.8644264194669756,0.8914494938617273
45,0.2,All,Lattice,2,413,COLAB,0.8939732142857143,0.8712080894092602,0.8846069629954018
46,0.2,All,Lattice,2,413,COLAB,0.9041980624327234,0.8813654168998322,0.8952776563183209
47,0.2,All,Lattice,2,413,COLAB,0.9014796102490076,0.8653733098177543,0.8877459749552773
48,0.2,All,Lattice,2,413,COLAB,0.9167571480275063,0.8745271122320303,0.9013566337088986
49,0.2,All,Lattice,2,413,COLAB,0.9019138755980861,0.8715890850722312,0.8900938477580813
50,0.2,All,Lattice,2,413,COLAB,0.9157894736842105,0.8783199505867819,0.901920438957476
1,0.2,All,Lattice,2,413,NOLAB,0.8986984815618221,0.8624208304011259,0.8848631239935588
2,0.2,All,Lattice,2,413,NOLAB,0.902475780409042,0.8776769509981851,0.8932432432432432
3,0.2,All,Lattice,2,413,NOLAB,0.9101931771475544,0.8774094063222821,0.8987935656836461
4,0.2,All,Lattice,2,413,NOLAB,0.905505341002465,0.8726868985936344,0.8937912813738441
5,0.2,All,Lattice,2,413,NOLAB,0.9020771513353116,0.8662023460410557,0.8889336556540425
6,0.2,All,Lattice,2,413,NOLAB,0.901511879049676,0.8723249909321726,0.8906186543928523
7,0.2,All,Lattice,2,413,NOLAB,0.8945770065075922,0.8786390740091197,0.8884867980163517
8,0.2,All,Lattice,2,413,NOLAB,0.9067133443163097,0.8679530836171018,0.8930524069875984
9,0.2,All,Lattice,2,413,NOLAB,0.9004219409282701,0.8826916156890968,0.8938688655406304
10,0.2,All,Lattice,2,413,NOLAB,0.9069056834385822,0.8726591760299626,0.8948410080485553
11,0.2,All,Lattice,2,413,NOLAB,0.9011197971688147,0.8705925118138859,0.8898984500267236
12,0.2,All,Lattice,2,413,NOLAB,0.9025057906927774,0.869757174392936,0.8905852417302799
13,0.2,All,Lattice,2,413,NOLAB,0.9021603656003323,0.8681852128454071,0.8900160170848905
14,0.2,All,Lattice,2,413,NOLAB,0.9047619047619048,0.8762010347376201,0.894534868333995
15,0.2,All,Lattice,2,413,NOLAB,0.9040727723795741,0.8751814223512336,0.8935861978137758
16,0.2,All,Lattice,2,413,NOLAB,0.8978086352788024,0.8731478135164438,0.8885574837310195
17,0.2,All,Lattice,2,413,NOLAB,0.8947254178424138,0.8746113989637305,0.8869634764062917
18,0.2,All,Lattice,2,413,NOLAB,0.9023883696780893,0.8834269662921348,0.8953412501631215
19,0.2,All,Lattice,2,413,NOLAB,0.8988044406490179,0.8632601655271681,0.8855688061101434
20,0.2,All,Lattice,2,413,NOLAB,0.9020934658490167,0.8851811984212414,0.8958222458754657
21,0.2,All,Lattice,2,413,NOLAB,0.9099372596640356,0.8805744520030234,0.8996968498747858
22,0.2,All,Lattice,2,413,NOLAB,0.9086983343615053,0.8752334703025775,0.8968169761273209
23,0.2,All,Lattice,2,413,NOLAB,0.891725352112676,0.8735795454545454,0.8847826086956522
24,0.2,All,Lattice,2,413,NOLAB,0.8983592584700618,0.8752247393024092,0.8897511372758897
25,0.2,All,Lattice,2,413,NOLAB,0.8985729967069155,0.8669842433125687,0.8867380560131796
26,0.2,All,Lattice,2,413,NOLAB,0.9064972927946688,0.8660578386605784,0.8921938088829071
27,0.2,All,Lattice,2,413,NOLAB,0.8980034722222222,0.8714183381088825,0.887972972972973
28,0.2,All,Lattice,2,413,NOLAB,0.9051282051282051,0.8651896357491551,0.890644150892006
29,0.2,All,Lattice,2,413,NOLAB,0.8866561300519304,0.8669100564221706,0.8786616500940607
30,0.2,All,Lattice,2,413,NOLAB,0.9031645569620254,0.8487332339791356,0.8834859913793104
31,0.2,All,Lattice,2,413,NOLAB,0.9043727012668574,0.8777899743871204,0.8948472531794939
32,0.2,All,Lattice,2,413,NOLAB,0.893160577740017,0.874257771568285,0.8860124157971205
33,0.2,All,Lattice,2,413,NOLAB,0.9076860512403416,0.8784183296378418,0.8972980062959076
34,0.2,All,Lattice,2,413,NOLAB,0.9067133443163097,0.8679530836171018,0.8930524069875984
35,0.2,All,Lattice,2,413,NOLAB,0.9063777596075224,0.8659420289855072,0.8917929952953476
36,0.2,All,Lattice,2,413,NOLAB,0.9037444933920705,0.8682795698924731,0.8908174692049272
37,0.2,All,Lattice,2,413,NOLAB,0.9005324813631523,0.8715827338129496,0.8897658862876254
38,0.2,All,Lattice,2,413,NOLAB,0.9055714870954527,0.8829672308246309,0.8973756365060713
39,0.2,All,Lattice,2,413,NOLAB,0.9021625026243963,0.8773960216998191,0.8930658873538788
40,0.2,All,Lattice,2,413,NOLAB,0.9071105630908344,0.8542218856493753,0.8885040628746503
41,0.2,All,Lattice,2,413,NOLAB,0.8977835162470411,0.8757586576222778,0.889500537056928
42,0.2,All,Lattice,2,413,NOLAB,0.9050108932461873,0.864575363427697,0.8903387007218212
43,0.2,All,Lattice,2,413,NOLAB,0.9042399172699069,0.868237026131763,0.8912870762711864
44,0.2,All,Lattice,2,413,NOLAB,0.899873257287706,0.8858560794044665,0.8946393117140966
45,0.2,All,Lattice,2,413,NOLAB,0.905585660691955,0.8543761638733706,0.8872110116263531
46,0.2,All,Lattice,2,413,NOLAB,0.9029146571608304,0.8746397694524496,0.8925115970841617
47,0.2,All,Lattice,2,413,NOLAB,0.9041763832944668,0.8795269770879527,0.8951906237370335
48,0.2,All,Lattice,2,413,NOLAB,0.9051950677178088,0.8820531488896979,0.8969326748115415
49,0.2,All,Lattice,2,413,NOLAB,0.9028213166144201,0.8815217391304347,0.8950298210735587
50,0.2,All,Lattice,2,413,NOLAB,0.9041181364392679,0.877994839660892,0.8946948544076585
1,0.2,All,Lattice,7,413,COLAB,0.9121544869367664,0.7994791666666666,0.8707206128800574
2,0.2,All,Lattice,7,413,COLAB,0.9226401703335699,0.78059377262853,0.875922838771136
3,0.2,All,Lattice,7,413,COLAB,0.9222462203023758,0.8160173160173161,0.8868876080691642
4,0.2,All,Lattice,7,413,COLAB,0.9204015776263894,0.7957295373665481,0.8786361468764903
5,0.2,All,Lattice,7,413,COLAB,0.9139741518578353,0.806429070580014,0.8745840798566675
6,0.2,All,Lattice,7,413,COLAB,0.925626204238921,0.8160123171670516,0.889060092449923
7,0.2,All,Lattice,7,413,COLAB,0.9318021201413428,0.7940503432494279,0.8881912581502053
8,0.2,All,Lattice,7,413,COLAB,0.9296517762926486,0.8282111899133175,0.8983463035019456
