replica,network,population,true_model,sigma,net_size,colab_cond,TAT50
3,Lattice,All,13,0.2,484,COLAB,0.9305405405405406
4,Lattice,All,13,0.2,484,COLAB,0.9276279581728123
5,Lattice,All,13,0.2,484,COLAB,0.9088960342979635
6,Lattice,All,13,0.2,484,COLAB,0.9251787538304392
7,Lattice,All,13,0.2,484,COLAB,0.933972602739726
8,Lattice,All,13,0.2,484,COLAB,0.9390148553557467
9,Lattice,All,13,0.2,484,COLAB,0.934178581062854
10,Lattice,All,13,0.2,484,COLAB,0.9162011173184358
11,Lattice,All,13,0.2,484,COLAB,0.9332971800433839
12,Lattice,All,13,0.2,484,COLAB,0.9262937794040773
13,Lattice,All,13,0.2,484,COLAB,0.9325418240690772
14,Lattice,All,13,0.2,484,COLAB,0.9365622532245328
15,Lattice,All,13,0.2,484,COLAB,0.9360892031547458
16,Lattice,All,13,0.2,484,COLAB,0.9271739130434783
17,Lattice,All,13,0.2,484,COLAB,0.9216666666666666
18,Lattice,All,13,0.2,484,COLAB,0.9165739710789766
19,Lattice,All,13,0.2,484,COLAB,0.9092391304347827
20,Lattice,All,13,0.2,484,COLAB,0.9392690299532839
21,Lattice,All,13,0.2,484,COLAB,0.9341301460823374
22,Lattice,All,13,0.2,484,COLAB,0.9334029772786628
23,Lattice,All,13,0.2,484,COLAB,0.94
24,Lattice,All,13,0.2,484,COLAB,0.9229011993146773
25,Lattice,All,13,0.2,484,COLAB,0.9161179501860864
26,Lattice,All,13,0.2,484,COLAB,0.9139984122783805
27,Lattice,All,13,0.2,484,COLAB,0.9124732334047109
28,Lattice,All,13,0.2,484,COLAB,0.9158853469059738
29,Lattice,All,13,0.2,484,COLAB,0.9340114762649974
30,Lattice,All,13,0.2,484,COLAB,0.9244845360824743
31,Lattice,All,13,0.2,484,COLAB,0.927524204702628
32,Lattice,All,13,0.2,484,COLAB,0.9153269024651661
33,Lattice,All,13,0.2,484,COLAB,0.9239586245457087
34,Lattice,All,13,0.2,484,COLAB,0.9390148553557467
35,Lattice,All,13,0.2,484,COLAB,0.9276066990815776
36,Lattice,All,13,0.2,484,COLAB,0.9233664963699919
37,Lattice,All,13,0.2,484,COLAB,0.9183948289792621
38,Lattice,All,13,0.2,484,COLAB,0.9322478991596639
39,Lattice,All,13,0.2,484,COLAB,0.9331379861481087
40,Lattice,All,13,0.2,484,COLAB,0.9371770465053032
41,Lattice,All,13,0.2,484,COLAB,0.9236722711502535
42,Lattice,All,13,0.2,484,COLAB,0.9392723381487427
43,Lattice,All,13,0.2,484,COLAB,0.9249808624649145
44,Lattice,All,13,0.2,484,COLAB,0.9236393176279447
45,Lattice,All,13,0.2,484,COLAB,0.9342208300704777
46,Lattice,All,13,0.2,484,COLAB,0.9185558354324097
47,Lattice,All,13,0.2,484,COLAB,0.9069043576683644
48,Lattice,All,13,0.2,484,COLAB,0.9005016722408027
49,Lattice,All,13,0.2,484,COLAB,0.8962690785754663
50,Lattice,All,13,0.2,484,COLAB,0.9119583104772353
1,Lattice,All,13,0.2,484,NOLAB,0.9424982307147912
2,Lattice,All,13,0.2,484,NOLAB,0.9225118068917264
3,Lattice,All,13,0.2,484,NOLAB,0.9343939935645335
4,Lattice,All,13,0.2,484,NOLAB,0.9347599164926931
5,Lattice,All,13,0.2,484,NOLAB,0.9382373351839001
6,Lattice,All,13,0.2,484,NOLAB,0.9458267160755249
7,Lattice,All,13,0.2,484,NOLAB,0.9617607070020394
8,Lattice,All,13,0.2,484,NOLAB,0.9403661410186696
