replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
9,Lattice,All,2,0.2,413,COLAB,0.7874840620052216,0.9129236704326261
10,Lattice,All,2,0.2,413,COLAB,0.8158968427433106,0.9175452825087862
11,Lattice,All,2,0.2,413,COLAB,0.790000058376018,0.8960621484061077
12,Lattice,All,2,0.2,413,COLAB,0.8019458225992142,0.9056503198294243
13,Lattice,All,2,0.2,413,COLAB,0.8049095026690871,0.9164899257688229
14,Lattice,All,2,0.2,413,COLAB,0.839057719529115,0.940959409594096
15,Lattice,All,2,0.2,413,COLAB,0.8117171633600457,0.906300053390283
16,Lattice,All,2,0.2,413,COLAB,0.8080725117879445,0.916578947368421
17,Lattice,All,2,0.2,413,COLAB,0.8069907493636307,0.9022941970310392
18,Lattice,All,2,0.2,413,COLAB,0.8107994312800946,0.9084107327141383
19,Lattice,All,2,0.2,413,COLAB,0.8108655303018302,0.9097095001308558
20,Lattice,All,2,0.2,413,COLAB,0.8032606321425085,0.9322731011790513
21,Lattice,All,2,0.2,413,COLAB,0.8042660632843521,0.918245804006497
22,Lattice,All,2,0.2,413,COLAB,0.8123690582388174,0.9181578947368421
23,Lattice,All,2,0.2,413,COLAB,0.7959974223727231,0.9171887769000272
24,Lattice,All,2,0.2,413,COLAB,0.8228732935763831,0.9199785177228786
25,Lattice,All,2,0.2,413,COLAB,0.8042301860740134,0.9304229195088677
26,Lattice,All,2,0.2,413,COLAB,0.8035419083432599,0.9161307609860665
27,Lattice,All,2,0.2,413,COLAB,0.7881636237923495,0.8878169790518192
28,Lattice,All,2,0.2,413,COLAB,0.8233014863693502,0.9297225891677675
29,Lattice,All,2,0.2,413,COLAB,0.8300360086954236,0.9332803812549643
30,Lattice,All,2,0.2,413,COLAB,0.8024875762534359,0.9011675264729839
31,Lattice,All,2,0.2,413,COLAB,0.7895474238581416,0.904504990558403
32,Lattice,All,2,0.2,413,COLAB,0.8160121502805989,0.9160467587672688
33,Lattice,All,2,0.2,413,COLAB,0.7987314468030506,0.8903242815713156
34,Lattice,All,2,0.2,413,COLAB,0.8124699612837938,0.927477840451249
35,Lattice,All,2,0.2,413,COLAB,0.8130379878818772,0.9221158958001063
36,Lattice,All,2,0.2,413,COLAB,0.8330932378293839,0.9303913842920936
37,Lattice,All,2,0.2,413,COLAB,0.8002058143518551,0.9171754711972392
38,Lattice,All,2,0.2,413,COLAB,0.8012572830614134,0.9155996864384636
39,Lattice,All,2,0.2,413,COLAB,0.8061618236172614,0.9052744886975242
40,Lattice,All,2,0.2,413,COLAB,0.819360108610472,0.9208002192381475
41,Lattice,All,2,0.2,413,COLAB,0.7888799838796872,0.9213573929437113
42,Lattice,All,2,0.2,413,COLAB,0.8221384105057482,0.9431635388739946
43,Lattice,All,2,0.2,413,COLAB,0.8229142059883069,0.9227642276422764
44,Lattice,All,2,0.2,413,COLAB,0.8374973054807774,0.9358178053830227
